,AHCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.14,29.13,Valuation,1.1719876416065913
Price/Sales (TTM),1.01,1.32,Valuation,0.7651515151515151
Price/Book (MRQ),1.35,4.31,Valuation,0.3132250580046404
"PEG Ratio (TTM, GAAP)",1.18,0.26,Valuation,4.538461538461538
Gross Profit Margin (TTM),0.1753,0.1318,Profitability,1.3300455235204858
Operating Profit Margin (TTM),0.0786,0.0458,Profitability,1.7161572052401748
Net Profit Margin (TTM),0.0339,0.0242,Profitability,1.4008264462809918
Gross Profit Margin (TTM),0.1753,0.1318,Dividend,1.3300455235204858
Operating Profit Margin (TTM),0.0786,0.0458,Dividend,1.7161572052401748
Net Profit Margin (TTM),0.0339,0.0242,Dividend,1.4008264462809918
EPS Growth (MRQ),0.1444,-0.1478,Gowth rates,-0.9769959404600813
EPS Growth (TTM),1.3981000000000001,-1.101,Gowth rates,-1.2698455949137148
Revenue Growth (MRQ),0.039700000000000006,0.0931,Gowth rates,0.42642320085929114
Revenue Growth (TTM),0.3768,0.1191,Gowth rates,3.1637279596977335
Return On Equity (TTM),0.042,7.2022,Effectiveness,0.005831551470384049
Return On Assets (TTM),0.0188,0.0403,Effectiveness,0.4665012406947891
Return On Investment (TTM),0.020800000000000003,0.016,Effectiveness,1.3
Revenue Per Employee (TTM),270319.0,1375304.0,Effectiveness,0.19655218046337392
Total Debt/Total Capital (MRQ),0.504,0.4855,Financial strength,1.0381050463439754
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0015,Financial strength,-0.13333333333333333
Quick Ratio (MRQ),1.08,0.31,Financial strength,3.483870967741936
Interest Coverage (MRQ),1.96,9.55,Financial strength,0.20523560209424083
