,BW
% Above Low,0.2031
% Held by Institutions,0.8553000000000001
52-Wk Range,['3.89 - 9.52']
Annual Dividend $,
Annual Dividend %,
Ask,5.3
Ask Size,400.0
B/A Ratio,2.5
B/A Size,1000x400
Beta,2.1
Bid,4.67
Bid Size,1000.0
Closing Price,4.68
Day Change $,-0.12
Day Change %,-0.025
Day High,4.83
Day Low,4.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.17
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),71.0
Last (time),5:00p ET 11/25/22
Market Cap,414.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.8
Short Interest,0.0304
Today's Open,4.8
Volume,240810.0
Volume 10-day Avg,510742.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0888888888888888
Growth 2yr High Est,-2.1944444444444446
Growth 2yr Consensus Est,-1.6416666666666666
Growth 5yr Low Est,-1.0888888888888888
Growth 5yr High Est,-2.1944444444444446
Growth 5yr Consensus Est,-1.6416666666666666
Growth 5yr Actual/Est,-1.7044871794871794
Growth 3yr Historic,-0.3666666666666667
Price/Earnings (TTM),
Price/Sales (TTM),0.49842
Price/Book (MRQ),
Price/Cash Flow (TTM),94.72606
5yr Low,0.77
5yr High,76.6
5yr Avg Return,0.01951666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.1263126
Dividend Growth 5yr,
Short Int Current Month,2596794.0
Short Int Prev Month,2788055.0
Short Int Pct of Float,0.030443699999999997
Days to Cover,3.06166
Float,85.29832
Shares Outstanding,88.63363
Institutions Holding Shares,152.0
FCF Growth 5yr,0.01929302885541251
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2172
Operating Profit Margin (TTM),-0.0039000000000000003
Net Profit Margin (TTM),-0.0025
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.4084
EPS Growth (TTM),-81.0817
Revenue Growth (MRQ),-0.0278
Revenue Growth (TTM),0.22219999999999998
Return On Equity (TTM),
Return On Assets (TTM),-0.0025
Return On Investment (TTM),-0.004
Revenue Per Employee (TTM),462352.0
Total Debt/Total Capital (MRQ),1.0492000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),1.25
Interest Coverage (MRQ),-0.12
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-09-23 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-10-14 00:00:00
marketEdge opinion since,
