,TENB
% Above Low,0.2986
% Held by Institutions,0.8991
52-Wk Range,['28.80 - 63.61']
Annual Dividend $,
Annual Dividend %,
Ask,37.43
Ask Size,100.0
Ask close,46.4
B/A Ratio,35.0
B/A Size,3500x100
Beta,1.3
Bid,37.4
Bid Size,3500.0
Bid close,29.23
Change Since Close,0.00| |(0.00%)
Closing Price,37.4
Day Change $,-0.49
Day Change %,-0.0129
Day High,38.38
Day Low,37.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),772.0
Last (time),4:00p ET 11/28/22
Last Trade,37.4
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,37.89
Short Interest,0.0271
Today's Open,37.68
Volume,376848.0
Volume 10-day Avg,658305.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.7111111111111112
Growth 1yr High Est,-1.868421052631579
Growth 1yr Consensus Est,-1.789766081871345
Growth 2yr Low Est,-0.7461805555555556
Growth 2yr High Est,-0.3887559808612441
Growth 2yr Consensus Est,-0.5674682682083998
Growth 5yr Low Est,-0.3730902777777778
Growth 5yr High Est,-0.19437799043062204
Growth 5yr Consensus Est,-0.2837341341041999
Growth 5yr Actual/Est,-0.02418269939554768
Growth 3yr Historic,-0.1657268170426065
Price/Earnings (TTM),
Price/Sales (TTM),6.58324
Price/Book (MRQ),16.38942
Price/Cash Flow (TTM),
5yr Low,16.28
5yr High,63.61
5yr Avg Return,0.13112000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.3418887
Dividend Growth 5yr,
Short Int Current Month,2996025.0
Short Int Prev Month,2610482.0
Short Int Pct of Float,0.0270642
Days to Cover,2.66115
Float,110.758
Shares Outstanding,112.5141
Institutions Holding Shares,391.0
FCF Growth 5yr,0.27164751018873684
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7831999999999999
Operating Profit Margin (TTM),-0.1028
Net Profit Margin (TTM),-0.12630000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3243
EPS Growth (TTM),-1.0876000000000001
Revenue Growth (MRQ),0.064
Revenue Growth (TTM),0.2693
Return On Equity (TTM),-0.3572
Return On Assets (TTM),-0.0652
Return On Investment (TTM),-0.10439999999999999
Revenue Per Employee (TTM),400481.0
Total Debt/Total Capital (MRQ),0.5844
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),-3.85
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-19 00:00:00
theStreet since,2022-09-19 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
