,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,39.38,36.26,56.99,58.45,63.61,,,,,
low,20.0,20.29,16.28,35.32,28.8,,,,,
change,-0.3276,0.10160000000000001,1.1640000000000001,0.0391,-0.3215,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,278.0,287.0,268.0,288.0,Balance Sheet
Short Term Investments,,,,,,234.0,239.0,243.0,260.0,Balance Sheet
Cash and Short Term Invs,,,,,,512.0,526.0,511.0,548.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,137.0,97.0,110.0,148.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,137.0,96.0,109.0,148.0,Balance Sheet
Prepaid Expenses,,,,,,60.0,59.0,49.0,49.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,40.0,40.0,41.0,41.0,Balance Sheet
Total Current Assets,,,,,,749.0,722.0,710.0,786.0,Balance Sheet
Land/Improvements,,,,,,27.0,27.0,27.0,27.0,Balance Sheet
Machinery/Equipment,,,,,,29.0,34.0,41.0,45.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,46.0,45.0,44.0,47.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,102.0,106.0,111.0,119.0,Balance Sheet
Accumulated Depreciation,,,,,,-26.0,-29.0,-31.0,-33.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,75.0,77.0,80.0,85.0,Balance Sheet
"Goodwill, Net",,,,,,262.0,281.0,317.0,317.0,Balance Sheet
Intangibles - Gross,,,,,,82.0,86.0,98.0,98.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-11.0,-13.0,-16.0,-19.0,Balance Sheet
Intangibles - Net,,,,,,72.0,73.0,82.0,78.0,Balance Sheet
Other Long Term Assets,,,,,,31.0,26.0,27.0,23.0,Balance Sheet
Total Assets,,,,,,1249.0,1238.0,1275.0,1350.0,Balance Sheet
Payable/Accrued,,,,,,16.0,17.0,17.0,26.0,Balance Sheet
Accrued Expenses,,,,,,56.0,39.0,46.0,43.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Customer Advances,,,,,,407.0,405.0,415.0,448.0,Balance Sheet
Other Current Liabilities,,,,,,1.0,1.0,2.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,409.0,405.0,417.0,449.0,Balance Sheet
Total Current Liabilities,,,,,,484.0,464.0,483.0,521.0,Balance Sheet
Total Long Term Debt,,,,,,365.0,364.0,363.0,363.0,Balance Sheet
Total Debt,,,,,,367.0,367.0,366.0,365.0,Balance Sheet
"Other Liabilities, Total",,,,,,185.0,183.0,191.0,206.0,Balance Sheet
Total Liabilities,,,,,,1034.0,1011.0,1038.0,1090.0,Balance Sheet
Common Stock,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,869.0,906.0,945.0,986.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-655.0,-679.0,-707.0,-725.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,-1.0,-2.0,-2.0,Balance Sheet
Total Equity,,,,,,215.0,227.0,238.0,260.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1249.0,1238.0,1275.0,1350.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,109.0,110.0,112.0,112.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,149018.0,159368.0,164341.0,174851.0,Income Statement
"Cost of Revenue, Total",,,,,,30836.0,34930.0,36037.0,38582.0,Income Statement
Selling/Gen/Admin Expense,,,,,,85112.0,88095.0,92861.0,91226.0,Income Statement
Labor & Related Expense,,,,,,14288.0,17422.0,21722.0,21548.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,99400.0,105517.0,114583.0,112774.0,Income Statement
Research & Development,,,,,,30718.0,34290.0,36228.0,36131.0,Income Statement
Restructuring Charge,,,,,,,838.0,0.0,0.0,Income Statement
Other Unusual Expnse (In),,,,,,931.0,1341.0,713.0,322.0,Income Statement
Unusual Expense (Income),,,,,,931.0,2179.0,713.0,322.0,Income Statement
Total Operating Expense,,,,,,161885.0,176916.0,187561.0,187809.0,Income Statement
