,TENB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.58,9.39,Valuation,0.7007454739084131
Price/Book (MRQ),16.39,12.63,Valuation,1.2977038796516231
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7831999999999999,0.7206,Profitability,1.086872051068554
Operating Profit Margin (TTM),-0.1028,0.2172,Profitability,-0.4732965009208103
Net Profit Margin (TTM),-0.12630000000000002,0.1553,Profitability,-0.8132646490663235
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3243,-0.0752,Gowth rates,-4.312499999999999
EPS Growth (TTM),-1.0876000000000001,-0.2824,Gowth rates,3.851274787535411
Revenue Growth (MRQ),0.064,0.15560000000000002,Gowth rates,0.4113110539845758
Revenue Growth (TTM),0.2693,0.1906,Gowth rates,1.412906610703043
Return On Equity (TTM),-0.3572,0.2189,Effectiveness,-1.6317953403380538
Return On Assets (TTM),-0.0652,0.10740000000000001,Effectiveness,-0.6070763500931098
Return On Investment (TTM),-0.10439999999999999,0.1387,Effectiveness,-0.7527036770007209
Revenue Per Employee (TTM),400481.0,667721.0,Effectiveness,0.5997729590652383
Total Debt/Total Capital (MRQ),0.5844,0.39659999999999995,Financial strength,1.4735249621785176
Change in Debt/Total Capital Quarter over Quarter,-0.0015,0.0004,Financial strength,-3.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-3.85,0.28,Financial strength,-13.749999999999998
