,WOLF
% Above Low,0.4458
% Held by Institutions,1.0352
52-Wk Range,['58.07 - 129.09']
Annual Dividend $,
Annual Dividend %,
Ask,87.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,83.0
Bid Size,100.0
Closing Price,83.96
Day Change $,-6.07
Day Change %,-0.0674
Day High,90.0
Day Low,83.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.07
Ex-dividend Date,No dividend
Historical Volatility,0.762
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,10.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,90.03
Short Interest,0.07400000000000001
Today's Open,88.17
Volume,2677697.0
Volume 10-day Avg,2697355.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3789473684210526
Growth 1yr High Est,-1.2045454545454546
Growth 1yr Consensus Est,-0.7917464114832535
Growth 2yr Low Est,-0.11320249776984831
Growth 2yr High Est,3.9810606060606064
Growth 2yr Consensus Est,1.933929054145379
Growth 5yr Low Est,-0.07546833184656554
Growth 5yr High Est,2.6540404040404044
Growth 5yr Consensus Est,1.2892860360969196
Growth 5yr Actual/Est,-1.1839247311827956
Growth 3yr Historic,0.15107526881720434
Price/Earnings (TTM),
Price/Sales (TTM),13.45881
Price/Book (MRQ),5.30083
Price/Cash Flow (TTM),
5yr Low,27.77
5yr High,142.33
5yr Avg Return,0.21753333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.1271683
Dividend Growth 5yr,
Short Int Current Month,9132788.0
Short Int Prev Month,8424411.0
Short Int Pct of Float,0.0740455
Days to Cover,3.06271
Float,123.3402
Shares Outstanding,124.2133
Institutions Holding Shares,666.0
FCF Growth 5yr,-0.1002143224521485
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3367
Operating Profit Margin (TTM),-0.2828
Net Profit Margin (TTM),-0.3023
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5771000000000001
EPS Growth (TTM),0.3032
Revenue Growth (MRQ),0.055999999999999994
Revenue Growth (TTM),0.4662
Return On Equity (TTM),-0.1211
Return On Assets (TTM),-0.0707
Return On Investment (TTM),-0.0784
Revenue Per Employee (TTM),206846.0
Total Debt/Total Capital (MRQ),0.3832
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),3.97
Interest Coverage (MRQ),-66.4
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-17 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
