,WOLF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.56,Valuation,
Price/Sales (TTM),13.46,7.41,Valuation,1.8164642375168691
Price/Book (MRQ),5.3,13.13,Valuation,0.4036557501904036
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.3367,0.5489,Profitability,0.6134086354527236
Operating Profit Margin (TTM),-0.2828,0.25739999999999996,Profitability,-1.0986790986790989
Net Profit Margin (TTM),-0.3023,0.2224,Profitability,-1.3592625899280577
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),0.5771000000000001,1.5356,Gowth rates,0.3758140140661631
EPS Growth (TTM),0.3032,0.2274,Gowth rates,1.3333333333333335
Revenue Growth (MRQ),0.055999999999999994,0.1335,Gowth rates,0.4194756554307115
Revenue Growth (TTM),0.4662,0.24170000000000003,Gowth rates,1.9288374017376912
Return On Equity (TTM),-0.1211,0.36920000000000003,Effectiveness,-0.32800650054171177
Return On Assets (TTM),-0.0707,0.16010000000000002,Effectiveness,-0.44159900062460955
Return On Investment (TTM),-0.0784,0.1925,Effectiveness,-0.40727272727272723
Revenue Per Employee (TTM),206846.0,898550.0,Effectiveness,0.2301997662901341
Total Debt/Total Capital (MRQ),0.3832,0.3576,Financial strength,1.0715883668903803
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0,Financial strength,inf
Quick Ratio (MRQ),3.97,2.24,Financial strength,1.7723214285714284
Interest Coverage (MRQ),-66.4,15.8,Financial strength,-4.2025316455696204
