,PETS
% Above Low,0.0966
% Held by Institutions,0.7859
52-Wk Range,['18.22 - 29.53']
Annual Dividend $,1.2
Annual Dividend %,0.0604
Ask,20.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,19.97
Bid Size,100.0
Day Change $,0.1
Day Change %,0.005
Day High,20.1
Day Low,19.78
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",0.77
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.401
Last (size),100.0
Last (time),10:30a ET 11/28/22
Market Cap,421.1M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.78
Prev Close,19.88
Price,19.98
Short Interest,0.20420000000000002
Today's Open,19.78
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.26530612244897955
Growth 1yr High Est,-0.2524271844660194
Growth 1yr Consensus Est,-0.2588666534574995
Growth 2yr Low Est,-0.05626417233560094
Growth 2yr High Est,0.15300718698776944
Growth 2yr Consensus Est,0.04837150732608425
Growth 5yr Low Est,-0.16409172670474662
Growth 5yr High Est,-0.016745208674820395
Growth 5yr Consensus Est,-0.0904184676897835
Growth 5yr Actual/Est,-0.030751930138405104
Growth 3yr Historic,-0.034373725010199946
Price/Earnings (TTM),25.77767
Price/Sales (TTM),1.59735
Price/Book (MRQ),3.03314
Price/Cash Flow (TTM),22.42357
5yr Low,15.0
5yr High,57.8
5yr Avg Return,-0.06808333333333333
EPS Growth 5yr,-0.0237587
Revenue Growth 5yr,0.0187412
Dividend Growth 5yr,0.0956543
Short Int Current Month,4111693.0
Short Int Prev Month,4340702.0
Short Int Pct of Float,0.2042246
Days to Cover,9.88497
Float,20.17069
Shares Outstanding,21.07568
Institutions Holding Shares,244.0
FCF Growth 5yr,-0.06582791487486217
"Price/Earnings (TTM, GAAP)",25.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2879
Operating Profit Margin (TTM),0.07110000000000001
Net Profit Margin (TTM),0.059800000000000006
Annual Dividend Yield,0.0604
Dividend Change %,0.0714
"Dividend Growth Rate, 3 Years",0.0422
EPS Growth (MRQ),-0.073
EPS Growth (TTM),-0.3801
Revenue Growth (MRQ),-0.0683
Revenue Growth (TTM),-0.07730000000000001
Return On Equity (TTM),0.1121
Return On Assets (TTM),0.0954
Return On Investment (TTM),0.11130000000000001
Revenue Per Employee (TTM),1237264.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.41
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-07-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
