,RBBN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.06,Valuation,
Price/Sales (TTM),0.53,5.09,Valuation,0.10412573673870335
Price/Book (MRQ),0.89,4.51,Valuation,0.19733924611973394
"PEG Ratio (TTM, GAAP)",,2.07,Valuation,
Gross Profit Margin (TTM),0.4558,0.5751,Profitability,0.7925578160319945
Operating Profit Margin (TTM),-0.2078,0.2231,Profitability,-0.9314208874943972
Net Profit Margin (TTM),-0.2631,0.1819,Profitability,-1.4463991203958217
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),0.4233,-0.16579999999999998,Gowth rates,-2.55307599517491
EPS Growth (TTM),-8.975,0.1262,Gowth rates,-71.11727416798732
Revenue Growth (MRQ),0.006500000000000001,0.1365,Gowth rates,0.047619047619047616
Revenue Growth (TTM),-0.0488,0.0862,Gowth rates,-0.5661252900232019
Return On Equity (TTM),-0.3897,0.195,Effectiveness,-1.9984615384615383
Return On Assets (TTM),-0.16460000000000002,0.1241,Effectiveness,-1.3263497179693797
Return On Investment (TTM),-0.2119,0.1684,Effectiveness,-1.2583135391923992
Revenue Per Employee (TTM),221628.0,688581.0,Effectiveness,0.32186191602730835
Total Debt/Total Capital (MRQ),0.4036,0.36450000000000005,Financial strength,1.107270233196159
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0002,Financial strength,0.0
Quick Ratio (MRQ),1.18,1.51,Financial strength,0.7814569536423841
Interest Coverage (MRQ),-0.2,1.83,Financial strength,-0.1092896174863388
