,RBBN
% Above Low,0.16890000000000002
% Held by Institutions,0.7061
52-Wk Range,['2.19 - 6.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.56
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,1.1
Bid,2.55
Bid Size,1200.0
Day Change $,-0.03
Day Change %,-0.0116
Day High,2.57
Day Low,2.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.43
Ex-dividend Date,No dividend
Historical Volatility,0.691
Last (size),100.0
Last (time),12:16p ET 11/28/22
Market Cap,430.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.59
Price,2.56
Short Interest,0.0245
Today's Open,2.57
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-18.0
Growth 2yr High Est,36.0
Growth 2yr Consensus Est,9.0
Growth 5yr Low Est,-18.0
Growth 5yr High Est,36.0
Growth 5yr Consensus Est,9.0
Growth 5yr Actual/Est,inf
Growth 3yr Historic,-0.08523008411677388
Price/Earnings (TTM),
Price/Sales (TTM),0.53317
Price/Book (MRQ),0.89
Price/Cash Flow (TTM),
5yr Low,1.95
5yr High,11.25
5yr Avg Return,-0.04911666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2731611
Dividend Growth 5yr,
Short Int Current Month,3367421.0
Short Int Prev Month,3423585.0
Short Int Pct of Float,0.0244652
Days to Cover,6.94722
Float,137.8406
Shares Outstanding,168.1231
Institutions Holding Shares,169.0
FCF Growth 5yr,0.58710545039731
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4558
Operating Profit Margin (TTM),-0.2078
Net Profit Margin (TTM),-0.2631
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4233
EPS Growth (TTM),-8.975
Revenue Growth (MRQ),0.006500000000000001
Revenue Growth (TTM),-0.0488
Return On Equity (TTM),-0.3897
Return On Assets (TTM),-0.16460000000000002
Return On Investment (TTM),-0.2119
Revenue Per Employee (TTM),221628.0
Total Debt/Total Capital (MRQ),0.4036
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),-0.2
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-02-22 00:00:00
theStreet since,2022-02-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2015-07-15 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
