,HLT
% Below High,0.177
% Held by Institutions,0.9615
52-Wk Range,['108.41 - 167.99']
Annual Dividend $,0.6
Annual Dividend %,0.0043
Ask,164.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,121.0
Bid Size,100.0
Closing Price,138.25
Day Change $,-0.29
Day Change %,-0.0021
Day High,139.3
Day Low,137.09
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.85
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.387
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,37.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.92
Prev Close,138.54
Short Interest,0.018600000000000002
Today's Open,138.3
Volume,977633.0
Volume 10-day Avg,1609549.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.15143603133159278
Growth 1yr High Est,0.15656565656565657
Growth 1yr Consensus Est,0.15400084394862468
Growth 2yr Low Est,0.14034386600593252
Growth 2yr High Est,0.2562304265361034
Growth 2yr Consensus Est,0.19828714627101796
Growth 5yr Low Est,0.07017193300296626
Growth 5yr High Est,0.1281152132680517
Growth 5yr Consensus Est,0.09914357313550898
Growth 5yr Actual/Est,5.056127231508329
Growth 3yr Historic,4.706410256410257
Price/Earnings (TTM),35.91693
Price/Sales (TTM),4.57937
Price/Book (MRQ),
Price/Cash Flow (TTM),30.15366
5yr Low,44.3
5yr High,167.99
5yr Avg Return,0.13426666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.025204900000000002
Dividend Growth 5yr,
Short Int Current Month,4938989.0
Short Int Prev Month,4967002.0
Short Int Pct of Float,0.0185945
Days to Cover,2.18868
Float,265.6379
Shares Outstanding,270.456
Institutions Holding Shares,1000.0
FCF Growth 5yr,2.687513662429442
"Price/Earnings (TTM, GAAP)",35.92
"PEG Ratio (TTM, GAAP)",0.8
Gross Profit Margin (TTM),0.4239
Operating Profit Margin (TTM),0.23550000000000001
Net Profit Margin (TTM),0.1313
Annual Dividend Yield,0.0043
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.039900000000000005
EPS Growth (TTM),30.260900000000003
Revenue Growth (MRQ),0.0571
Revenue Growth (TTM),0.6863
Return On Equity (TTM),
Return On Assets (TTM),0.0696
Return On Investment (TTM),0.08630000000000002
Revenue Per Employee (TTM),57500.0
Total Debt/Total Capital (MRQ),1.1169
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.88
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2019-06-04 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-12-15 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
