,ALTR
% Above Low,0.09570000000000001
% Held by Institutions,0.9765999999999999
52-Wk Range,['43.17 - 78.38']
Annual Dividend $,
Annual Dividend %,
Ask,47.66
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.5
Bid,46.94
Bid Size,100.0
Closing Price,47.3
Day Change $,0.05
Day Change %,0.0011
Day High,47.65
Day Low,45.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.73
Ex-dividend Date,No dividend
Historical Volatility,0.394
Last (size),14.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,47.25
Short Interest,0.0473
Today's Open,47.22
Volume,123385.0
Volume 10-day Avg,450132.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.23076923076923062
Growth 2yr Consensus Est,0.11538461538461531
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.23076923076923062
Growth 5yr Consensus Est,0.11538461538461531
Growth 5yr Actual/Est,0.3452891353596999
Growth 3yr Historic,0.2744455645161291
Price/Earnings (TTM),
Price/Sales (TTM),6.86001
Price/Book (MRQ),7.07669
Price/Cash Flow (TTM),
5yr Low,20.5
5yr High,82.96
5yr Avg Return,0.17373333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.1118242
Dividend Growth 5yr,
Short Int Current Month,2434815.0
Short Int Prev Month,2562320.0
Short Int Pct of Float,0.0473446
Days to Cover,6.26058
Float,51.56253
Shares Outstanding,80.14242
Institutions Holding Shares,247.0
FCF Growth 5yr,0.8271546584458093
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7798
Operating Profit Margin (TTM),-0.0125
Net Profit Margin (TTM),-0.10300000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0188
EPS Growth (TTM),-8.4476
Revenue Growth (MRQ),-0.1003
Revenue Growth (TTM),0.0529
Return On Equity (TTM),-0.0999
Return On Assets (TTM),-0.053200000000000004
Return On Investment (TTM),-0.0714
Revenue Per Employee (TTM),197352.0
Total Debt/Total Capital (MRQ),0.363
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-4.65
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-09-20 00:00:00
ford since,2022-06-17 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-09-20 00:00:00
marketEdge opinion since,
