,ALTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.86,9.39,Valuation,0.7305644302449414
Price/Book (MRQ),7.08,12.63,Valuation,0.5605700712589073
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7798,0.7206,Profitability,1.0821537607549265
Operating Profit Margin (TTM),-0.0125,0.2172,Profitability,-0.05755064456721915
Net Profit Margin (TTM),-0.10300000000000001,0.1553,Profitability,-0.6632324533161623
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0188,-0.0752,Gowth rates,-0.25
EPS Growth (TTM),-8.4476,-0.2824,Gowth rates,29.913597733711047
Revenue Growth (MRQ),-0.1003,0.15560000000000002,Gowth rates,-0.6446015424164524
Revenue Growth (TTM),0.0529,0.1906,Gowth rates,0.27754459601259185
Return On Equity (TTM),-0.0999,0.2189,Effectiveness,-0.4563727729556875
Return On Assets (TTM),-0.053200000000000004,0.10740000000000001,Effectiveness,-0.49534450651769085
Return On Investment (TTM),-0.0714,0.1387,Effectiveness,-0.5147801009372748
Revenue Per Employee (TTM),197352.0,667721.0,Effectiveness,0.2955605709570315
Total Debt/Total Capital (MRQ),0.363,0.39659999999999995,Financial strength,0.9152798789712557
Change in Debt/Total Capital Quarter over Quarter,0.004,0.0004,Financial strength,10.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-4.65,0.28,Financial strength,-16.607142857142858
