,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,40.13,37.76,,,,,
low,27.51,16.2,,,,,
change,0.3423,-0.532,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,275.0,313.0,201.0,141.0,Balance Sheet
Cash & Equivalents,,,181.0,232.0,342.0,359.0,Balance Sheet
Short Term Investments,,,40.0,32.0,39.0,148.0,Balance Sheet
Cash and Short Term Invs,,,496.0,578.0,582.0,648.0,Balance Sheet
"Trade Accts Recvble, Gross",,,437.0,257.0,291.0,257.0,Balance Sheet
Prov. for Doubtful Accts,,,-5.0,-4.0,-3.0,-3.0,Balance Sheet
"Total Receivables, Net",,,542.0,372.0,411.0,372.0,Balance Sheet
Prepaid Expenses,,,134.0,152.0,115.0,112.0,Balance Sheet
Total Current Assets,,,1172.0,1101.0,1108.0,1132.0,Balance Sheet
Buildings,,,208.0,,,,Balance Sheet
Land/Improvements,,,43.0,,,,Balance Sheet
Machinery/Equipment,,,110.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,92.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,453.0,,,,Balance Sheet
Accumulated Depreciation,,,-201.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,252.0,243.0,230.0,222.0,Balance Sheet
"Goodwill, Net",,,2381.0,2367.0,2334.0,2297.0,Balance Sheet
Intangibles - Gross,,,3124.0,3120.0,3112.0,3103.0,Balance Sheet
Accum. Intangible Amort.,,,-2096.0,-2144.0,-2192.0,-2238.0,Balance Sheet
Intangibles - Net,,,1027.0,976.0,920.0,865.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,13.0,12.0,12.0,10.0,Balance Sheet
Restricted Cash - LT,,,2.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,139.0,133.0,133.0,131.0,Balance Sheet
Total Assets,,,4986.0,4832.0,4736.0,4658.0,Balance Sheet
Accounts Payable,,,42.0,33.0,21.0,22.0,Balance Sheet
Accrued Expenses,,,257.0,143.0,170.0,167.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,14.0,19.0,19.0,19.0,Balance Sheet
Customer Advances,,,613.0,579.0,563.0,523.0,Balance Sheet
Income Taxes Payable,,,7.0,0.0,0.0,5.0,Balance Sheet
Other Current Liabilities,,,8.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,628.0,579.0,563.0,528.0,Balance Sheet
Total Current Liabilities,,,942.0,773.0,773.0,736.0,Balance Sheet
Total Long Term Debt,,,1837.0,1834.0,1830.0,1826.0,Balance Sheet
Total Debt,,,1851.0,1852.0,1848.0,1844.0,Balance Sheet
Deferred Income Tax,,,105.0,99.0,48.0,19.0,Balance Sheet
"Other Liabilities, Total",,,119.0,112.0,106.0,106.0,Balance Sheet
Total Liabilities,,,3003.0,2817.0,2757.0,2687.0,Balance Sheet
Common Stock,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,3093.0,3141.0,3184.0,3242.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-1129.0,-1133.0,-1163.0,-1179.0,Balance Sheet
Cum. Trans. Adjustment,,,21.0,,,,Balance Sheet
Other Comprehensive Income,,,-4.0,3.0,-44.0,-96.0,Balance Sheet
"Other Equity, Total",,,17.0,3.0,-44.0,-96.0,Balance Sheet
Total Equity,,,1984.0,2015.0,1980.0,1970.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,4986.0,4832.0,4736.0,4658.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,234.0,236.0,237.0,239.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,44.0,44.0,44.0,44.0,Balance Sheet
Ttl Comm. Shares Outs.,,,278.0,280.0,281.0,283.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,406710.0,362347.0,372039.0,371951.0,Income Statement
"Cost of Revenue, Total",,,94786.0,83799.0,86409.0,87191.0,Income Statement
Selling/Gen/Admin Expense,,,174033.0,143225.0,155935.0,144958.0,Income Statement
Labor & Related Expense,,,22387.0,15301.0,19294.0,18579.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,196420.0,158526.0,175229.0,163537.0,Income Statement
Research & Development,,,73750.0,75123.0,84064.0,80403.0,Income Statement
Depreciation/Amortization,,,42951.0,38661.0,38459.0,38231.0,Income Statement
Unusual Expense (Income),,,30882.0,0.0,,,Income Statement
Total Operating Expense,,,438789.0,356109.0,384161.0,369362.0,Income Statement
Total Operating Income,,,-32079.0,6238.0,-12122.0,2589.0,Income Statement
"Inter Expse,Net Non-Operat",,,-23833.0,-12825.0,-16560.0,-22185.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,368.0,366.0,1129.0,2813.0,Income Statement
