,INFA
% Above Low,0.0704
% Held by Institutions,0.4539
52-Wk Range,['16.20 - 40.13']
Annual Dividend $,
Annual Dividend %,
Ask,19.4
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,
Bid,16.9
Bid Size,100.0
Closing Price,17.34
Day Change $,-0.09
Day Change %,-0.0052
Day High,17.64
Day Low,17.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.43
Short Interest,0.0313
Today's Open,17.35
Volume,75408.0
Volume 10-day Avg,375270.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.06756756756756765
Growth 2yr High Est,0.17499999999999982
Growth 2yr Consensus Est,0.053716216216216084
Growth 5yr Low Est,-0.06756756756756765
Growth 5yr High Est,0.17499999999999982
Growth 5yr Consensus Est,0.053716216216216084
Growth 5yr Actual/Est,0.05263157894736836
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.24376
Price/Book (MRQ),2.4908
Price/Cash Flow (TTM),44.56643
5yr Low,16.2
5yr High,40.13
5yr Avg Return,-0.09485000000000003
Short Int Current Month,3528599.0
Short Int Prev Month,3772627.0
Short Int Pct of Float,0.0312855
Days to Cover,8.8004
Float,112.7521
Shares Outstanding,283.0431
Institutions Holding Shares,139.0
FCF Growth 5yr,0.05411406270469513
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7672
Operating Profit Margin (TTM),-0.0234
Net Profit Margin (TTM),-0.0764
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.49119999999999997
EPS Growth (TTM),-1.2393
Revenue Growth (MRQ),-0.0002
Revenue Growth (TTM),0.0701
Return On Equity (TTM),-0.075
Return On Assets (TTM),-0.0245
Return On Investment (TTM),-0.028999999999999998
Revenue Per Employee (TTM),275100.0
Total Debt/Total Capital (MRQ),0.48350000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.13
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-18 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
