,SCI
% Below High,0.0533
% Held by Institutions,0.8759999999999999
52-Wk Range,['56.85 - 75.12']
Annual Dividend $,1.08
Annual Dividend %,0.0151
Ask,71.14
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.8
Bid,71.09
Bid Size,200.0
Day Change $,-0.3
Day Change %,-0.0042
Day High,72.06
Day Low,70.71
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.16
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.312
Last (size),100.0
Last (time),1:46p ET 11/28/22
Market Cap,10.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.18
Prev Close,71.41
Price,71.11
Short Interest,0.0373
Today's Open,71.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.16083916083916083
Growth 1yr High Est,-0.19213973799126638
Growth 1yr Consensus Est,-0.1764894494152136
Growth 2yr Low Est,-0.10125291375291373
Growth 2yr High Est,-0.10958338250914673
Growth 2yr Consensus Est,-0.10541814813103023
Growth 5yr Low Est,0.2638472273340695
Growth 5yr High Est,0.2884725574500898
Growth 5yr Consensus Est,0.27615989239207966
Growth 5yr Actual/Est,0.21662911358406203
Growth 3yr Historic,0.27550642069090253
Price/Earnings (TTM),17.17974
Price/Sales (TTM),2.6631
Price/Book (MRQ),6.58825
Price/Cash Flow (TTM),11.42265
5yr Low,33.93
5yr High,75.12
5yr Avg Return,0.12918333333333334
EPS Growth 5yr,0.39201929999999996
Revenue Growth 5yr,0.0644981
Dividend Growth 5yr,0.11456569999999999
Short Int Current Month,5545439.0
Short Int Prev Month,4709918.0
Short Int Pct of Float,0.0372508
Days to Cover,3.59537
Float,149.2343
Shares Outstanding,153.8055
Institutions Holding Shares,647.0
FCF Growth 5yr,-0.044895266605986306
"Price/Earnings (TTM, GAAP)",17.18
"PEG Ratio (TTM, GAAP)",1.43
Gross Profit Margin (TTM),0.2907
Operating Profit Margin (TTM),0.2564
Net Profit Margin (TTM),0.1649
Annual Dividend Yield,0.0151
Dividend Change %,0.1467
"Dividend Growth Rate, 3 Years",0.0922
EPS Growth (MRQ),-0.0766
EPS Growth (TTM),-0.1036
Revenue Growth (MRQ),-0.013300000000000001
Revenue Growth (TTM),0.013300000000000001
Return On Equity (TTM),0.3755
Return On Assets (TTM),0.045599999999999995
Return On Investment (TTM),0.0478
Revenue Per Employee (TTM),242288.0
Total Debt/Total Capital (MRQ),0.7142000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),4.35
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2021-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
