,SCI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.18,-674.43,Valuation,-0.025473362691457974
Price/Sales (TTM),2.66,3.81,Valuation,0.6981627296587927
Price/Book (MRQ),6.59,2.94,Valuation,2.241496598639456
"PEG Ratio (TTM, GAAP)",1.43,-5.1,Valuation,-0.2803921568627451
Gross Profit Margin (TTM),0.2907,0.30350000000000005,Profitability,0.9578253706754529
Operating Profit Margin (TTM),0.2564,0.047,Profitability,5.45531914893617
Net Profit Margin (TTM),0.1649,0.024900000000000002,Profitability,6.622489959839356
Annual Dividend Yield,0.0151,0.0049,Dividend,3.0816326530612246
Dividend Change %,0.1467,0.015500000000000002,Dividend,9.464516129032257
"Dividend Growth Rate, 3 Years",0.0922,0.013000000000000001,Dividend,7.092307692307692
EPS Growth (MRQ),-0.0766,-8.9082,Gowth rates,0.008598819065580026
EPS Growth (TTM),-0.1036,1.3234000000000001,Gowth rates,-0.07828320991385823
Revenue Growth (MRQ),-0.013300000000000001,0.0315,Gowth rates,-0.4222222222222223
Revenue Growth (TTM),0.013300000000000001,0.1202,Gowth rates,0.11064891846921798
Return On Equity (TTM),0.3755,0.0073,Effectiveness,51.43835616438356
Return On Assets (TTM),0.045599999999999995,-0.0022,Effectiveness,-20.727272727272723
Return On Investment (TTM),0.0478,0.005699999999999999,Effectiveness,8.385964912280704
Revenue Per Employee (TTM),242288.0,227358.0,Effectiveness,1.0656673616059256
Total Debt/Total Capital (MRQ),0.7142000000000001,0.5721,Financial strength,1.2483831497989861
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.001,Financial strength,1.6
Quick Ratio (MRQ),0.43,0.56,Financial strength,0.7678571428571428
Interest Coverage (MRQ),4.35,2.57,Financial strength,1.6926070038910506
