,FIVN
% Above Low,0.3019
% Held by Institutions,1.0012999999999999
52-Wk Range,['46.61 - 146.46']
Annual Dividend $,
Annual Dividend %,
Ask,61.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,60.51
Bid Size,100.0
Closing Price,60.68
Day Change $,0.05
Day Change %,0.0008
Day High,61.23
Day Low,59.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.22
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,60.63
Short Interest,0.0843
Today's Open,60.09
Volume,449798.0
Volume 10-day Avg,1423867.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.09774436090225547
Growth 2yr High Est,0.17391304347826098
Growth 2yr Consensus Est,0.13582870219025822
Growth 5yr Low Est,0.09774436090225547
Growth 5yr High Est,0.17391304347826098
Growth 5yr Consensus Est,0.13582870219025822
Growth 5yr Actual/Est,0.1764649506743085
Growth 3yr Historic,0.09475856122197585
Price/Earnings (TTM),
Price/Sales (TTM),5.74959
Price/Book (MRQ),15.87747
Price/Cash Flow (TTM),
5yr Low,22.51
5yr High,211.68
5yr Avg Return,0.36016666666666675
EPS Growth 5yr,
Revenue Growth 5yr,0.3033362
Dividend Growth 5yr,
Short Int Current Month,5848661.0
Short Int Prev Month,5241950.0
Short Int Pct of Float,0.0842909
Days to Cover,2.16938
Float,69.43021
Shares Outstanding,70.50539
Institutions Holding Shares,423.0
FCF Growth 5yr,-1.9572565442312662
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5283
Operating Profit Margin (TTM),-0.11599999999999999
Net Profit Margin (TTM),-0.1137
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0263
EPS Growth (TTM),-0.445
Revenue Growth (MRQ),0.04730000000000001
Revenue Growth (TTM),0.3196
Return On Equity (TTM),-0.3841
Return On Assets (TTM),-0.0718
Return On Investment (TTM),-0.08220000000000001
Revenue Per Employee (TTM),348036.0
Total Debt/Total Capital (MRQ),0.7323999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),-21.2
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-12 00:00:00
researchTeam since,2022-05-12 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-04 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
