,BLKB
% Above Low,0.34659999999999996
% Held by Institutions,0.9826
52-Wk Range,['43.54 - 83.98']
Annual Dividend $,
Annual Dividend %,
Ask,59.1
Ask Size,100.0
B/A Ratio,26.0
B/A Size,2600x100
Beta,1.1
Bid,58.16
Bid Size,2600.0
Closing Price,58.63
Day Change $,0.69
Day Change %,0.011899999999999999
Day High,58.99
Day Low,55.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.62
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),22.0
Last (time),12:59p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,57.94
Short Interest,0.032400000000000005
Today's Open,57.94
Volume,82531.0
Volume 10-day Avg,198480.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.10726643598615915
Growth 1yr High Est,-0.1291390728476821
Growth 1yr Consensus Est,-0.11820275441692063
Growth 2yr Low Est,-0.049757249000831505
Growth 2yr High Est,0.1521605015989727
Growth 2yr Consensus Est,0.0512016262990706
Growth 5yr Low Est,0.05353046640867512
Growth 5yr High Est,0.1586793697422176
Growth 5yr Consensus Est,0.10610491807544636
Growth 5yr Actual/Est,0.10299069718631548
Growth 3yr Historic,0.08662840136054417
Price/Earnings (TTM),
Price/Sales (TTM),3.0188
Price/Book (MRQ),4.24766
Price/Cash Flow (TTM),45.16914
5yr Low,38.22
5yr High,120.35
5yr Avg Return,-0.051866666666666644
EPS Growth 5yr,-0.34224649999999995
Revenue Growth 5yr,0.0486379
Dividend Growth 5yr,
Short Int Current Month,1372746.0
Short Int Prev Month,1440436.0
Short Int Pct of Float,0.0324093
Days to Cover,4.43163
Float,52.12545
Shares Outstanding,53.09743
Institutions Holding Shares,322.0
FCF Growth 5yr,2.059459076259487
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.521
Operating Profit Margin (TTM),-0.019
Net Profit Margin (TTM),-0.030299999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.0136000000000003
EPS Growth (TTM),-31.613000000000003
Revenue Growth (MRQ),-0.013700000000000002
Revenue Growth (TTM),0.11789999999999999
Return On Equity (TTM),-0.0552
Return On Assets (TTM),-0.0146
Return On Investment (TTM),-0.0227
Revenue Per Employee (TTM),286455.0
Total Debt/Total Capital (MRQ),0.5382
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.65
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
ford since,2022-06-10 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-01 00:00:00
