,BLKB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),3.02,9.39,Valuation,0.32161874334398294
Price/Book (MRQ),4.25,12.63,Valuation,0.33650039588281866
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.521,0.7206,Profitability,0.7230086039411602
Operating Profit Margin (TTM),-0.019,0.2172,Profitability,-0.08747697974217311
Net Profit Margin (TTM),-0.030299999999999997,0.1553,Profitability,-0.19510624597553122
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-2.0136000000000003,-0.0752,Gowth rates,26.776595744680854
EPS Growth (TTM),-31.613000000000003,-0.2824,Gowth rates,111.94405099150143
Revenue Growth (MRQ),-0.013700000000000002,0.15560000000000002,Gowth rates,-0.08804627249357327
Revenue Growth (TTM),0.11789999999999999,0.1906,Gowth rates,0.6185729275970618
Return On Equity (TTM),-0.0552,0.2189,Effectiveness,-0.25216994061215164
Return On Assets (TTM),-0.0146,0.10740000000000001,Effectiveness,-0.13594040968342644
Return On Investment (TTM),-0.0227,0.1387,Effectiveness,-0.16366258111031004
Revenue Per Employee (TTM),286455.0,667721.0,Effectiveness,0.4290040301263552
Total Debt/Total Capital (MRQ),0.5382,0.39659999999999995,Financial strength,1.357034795763994
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0004,Financial strength,0.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),1.65,0.28,Financial strength,5.892857142857142
