,HQY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),6.65,1.32,Valuation,5.037878787878788
Price/Book (MRQ),2.83,4.31,Valuation,0.6566125290023203
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.5504,0.1318,Profitability,4.1760242792109254
Operating Profit Margin (TTM),-0.056100000000000004,0.0458,Profitability,-1.2248908296943233
Net Profit Margin (TTM),-0.0782,0.0242,Profitability,-3.231404958677686
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.22280000000000003,-0.1478,Gowth rates,-1.5074424898511505
EPS Growth (TTM),-56.1205,-1.101,Gowth rates,50.97229791099001
Revenue Growth (MRQ),0.0023,0.0931,Gowth rates,0.024704618689581095
Revenue Growth (TTM),0.0732,0.1191,Gowth rates,0.6146095717884131
Return On Equity (TTM),-0.0333,7.2022,Effectiveness,-0.004623587237233068
Return On Assets (TTM),-0.02,0.0403,Effectiveness,-0.4962779156327543
Return On Investment (TTM),-0.021,0.016,Effectiveness,-1.3125
Revenue Per Employee (TTM),215584.0,1375304.0,Effectiveness,0.15675370681682013
Total Debt/Total Capital (MRQ),0.3323,0.4855,Financial strength,0.6844490216271885
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0015,Financial strength,-0.13333333333333333
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),0.46,9.55,Financial strength,0.048167539267015703
