,HQY
% Below High,0.2107
% Held by Institutions,1.0201
52-Wk Range,['36.81 - 79.20']
Annual Dividend $,
Annual Dividend %,
Ask,62.48
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.8
Bid,61.2
Bid Size,200.0
Closing Price,62.51
Day Change $,0.79
Day Change %,0.0128
Day High,63.0
Day Low,61.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),47.0
Last (time),1:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,61.72
Short Interest,0.0377
Today's Open,61.8
Volume,201568.0
Volume 10-day Avg,1026540.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.06870229007633588
Growth 1yr High Est,-0.08450704225352101
Growth 1yr Consensus Est,-0.07660466616492845
Growth 2yr Low Est,0.12138655987986491
Growth 2yr High Est,0.2308234019501625
Growth 2yr Consensus Est,0.1761049809150137
Growth 5yr Low Est,0.026917813046893446
Growth 5yr High Est,0.06989997027123901
Growth 5yr Consensus Est,0.04840889165906623
Growth 5yr Actual/Est,0.03279219859375443
Growth 3yr Historic,-0.05238629883090959
Price/Earnings (TTM),
Price/Sales (TTM),6.64596
Price/Book (MRQ),2.83325
Price/Cash Flow (TTM),58.37401
5yr Low,34.4
5yr High,101.58
5yr Avg Return,0.06910000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.3350694
Dividend Growth 5yr,
Short Int Current Month,3120810.0
Short Int Prev Month,3547576.0
Short Int Pct of Float,0.0377025
Days to Cover,3.3937
Float,82.86566
Shares Outstanding,84.53073
Institutions Holding Shares,402.0
FCF Growth 5yr,-6.387538115872252
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5504
Operating Profit Margin (TTM),-0.056100000000000004
Net Profit Margin (TTM),-0.0782
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.22280000000000003
EPS Growth (TTM),-56.1205
Revenue Growth (MRQ),0.0023
Revenue Growth (TTM),0.0732
Return On Equity (TTM),-0.0333
Return On Assets (TTM),-0.02
Return On Investment (TTM),-0.021
Revenue Per Employee (TTM),215584.0
Total Debt/Total Capital (MRQ),0.3323
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.46
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-04-07 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
