,OSBC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.86,11.43,Valuation,2.1749781277340334
Price/Sales (TTM),3.73,3.3,Valuation,1.1303030303030304
Price/Book (MRQ),1.79,1.46,Valuation,1.226027397260274
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.2306,0.34240000000000004,Profitability,0.6734813084112149
Net Profit Margin (TTM),0.1663,0.2812,Profitability,0.5913940256045519
Annual Dividend Yield,0.0115,0.028700000000000003,Dividend,0.4006968641114982
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),0.595,-0.0335,Gowth rates,-17.761194029850746
EPS Growth (TTM),-0.44079999999999997,-0.09960000000000001,Gowth rates,4.425702811244979
Revenue Growth (MRQ),0.2241,0.5429,Gowth rates,0.41278320132621105
Revenue Growth (TTM),0.7889,0.2466,Gowth rates,3.1991078669910786
Return On Equity (TTM),0.092,0.1135,Effectiveness,0.8105726872246696
Return On Assets (TTM),0.0075,0.0099,Effectiveness,0.7575757575757575
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0043,0.0009,Financial strength,-4.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
