,OSBC
% Below High,0.032
% Held by Institutions,0.6724
52-Wk Range,['11.95 - 17.80']
Annual Dividend $,0.2
Annual Dividend %,0.0115
Ask,27.53
Ask Size,200.0
B/A Ratio,14.5
B/A Size,2900x200
Beta,1.1
Bid,17.19
Bid Size,2900.0
Closing Price,17.23
Day Change $,-0.23
Day Change %,-0.0132
Day High,17.5
Day Low,17.17
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",0.7
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.308
Last (size),327.0
Last (time),3:59p ET 11/28/22
Market Cap,766.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.86
Prev Close,17.46
Short Interest,0.0144
Today's Open,17.42
Volume,112116.0
Volume 10-day Avg,149587.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5999999999999999
Growth 1yr High Est,0.6145833333333335
Growth 1yr Consensus Est,0.6072916666666667
Growth 2yr Low Est,0.45972222222222214
Growth 2yr High Est,0.53309811827957
Growth 2yr Consensus Est,0.49641017025089607
Growth 5yr Low Est,0.15564236111111107
Growth 5yr High Est,0.19975516601001397
Growth 5yr Consensus Est,0.17769876356056252
Growth 5yr Actual/Est,0.15638495568163088
Growth 3yr Historic,0.04648829431438131
Price/Earnings (TTM),24.86046
Price/Sales (TTM),3.72643
Price/Book (MRQ),1.79435
Price/Cash Flow (TTM),19.00748
5yr Low,5.96
5yr High,17.8
5yr Avg Return,0.05396666666666668
EPS Growth 5yr,0.044064
Revenue Growth 5yr,0.0747345
Dividend Growth 5yr,
Short Int Current Month,600649.0
Short Int Prev Month,725556.0
Short Int Pct of Float,0.014396899999999999
Days to Cover,2.57984
Float,41.72061
Shares Outstanding,44.57396
Institutions Holding Shares,183.0
FCF Growth 5yr,inf
"Price/Earnings (TTM, GAAP)",24.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2306
Net Profit Margin (TTM),0.1663
Annual Dividend Yield,0.0115
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.595
EPS Growth (TTM),-0.44079999999999997
Revenue Growth (MRQ),0.2241
Revenue Growth (TTM),0.7889
Return On Equity (TTM),0.092
Return On Assets (TTM),0.0075
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2022-10-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
