,OSBC
Price/Earnings (TTM),24.86046
Price/Sales (TTM),3.72643
Price/Book (MRQ),1.79435
Price/Cash Flow (TTM),19.00748
5yr Low,5.96
5yr High,17.8
5yr Avg Return,0.05396666666666668
EPS Growth 5yr,0.044064
Revenue Growth 5yr,0.0747345
Dividend Growth 5yr,
Short Int Current Month,600649.0
Short Int Prev Month,725556.0
Short Int Pct of Float,0.014396899999999999
Days to Cover,2.57984
Float,41.72061
Shares Outstanding,44.57396
Institutions Holding Shares,183.0
% Held by Institutions,0.672401
FCF Growth 5yr,inf
