,TWLO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),2.46,19.35,Valuation,0.12713178294573643
Price/Book (MRQ),0.85,19.03,Valuation,0.04466631634261692
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.4744,0.44520000000000004,Profitability,1.0655884995507636
Operating Profit Margin (TTM),-0.3486,0.3027,Profitability,-1.151635282457879
Net Profit Margin (TTM),-0.3617,0.23600000000000002,Profitability,-1.5326271186440679
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.48340000000000005,-3.5569,Gowth rates,0.13590486097444404
EPS Growth (TTM),-0.46549999999999997,0.15560000000000002,Gowth rates,-2.991645244215938
Revenue Growth (MRQ),0.0421,0.16460000000000002,Gowth rates,0.25577156743620894
Revenue Growth (TTM),0.4308,0.2273,Gowth rates,1.895292564892213
Return On Equity (TTM),-0.122,0.5459,Effectiveness,-0.22348415460707086
Return On Assets (TTM),-0.10300000000000001,0.1131,Effectiveness,-0.9106984969053935
Return On Investment (TTM),-0.1094,0.18910000000000002,Effectiveness,-0.578529878371232
Revenue Per Employee (TTM),463263.0,686074.0,Effectiveness,0.6752376565793194
Total Debt/Total Capital (MRQ),0.0886,0.5613,Financial strength,0.15784785319793335
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0048,Financial strength,0.08333333333333334
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),-21.29,27.21,Financial strength,-0.7824329290701947
