,TWLO
% Above Low,0.14070000000000002
% Held by Institutions,0.8169
52-Wk Range,['41.00 - 298.00']
Annual Dividend $,
Annual Dividend %,
Ask,47.43
Ask Size,1000.0
B/A Ratio,0.3
B/A Size,300x1000
Beta,1.4
Bid,46.75
Bid Size,300.0
Closing Price,46.77
Day Change $,-1.79
Day Change %,-0.0369
Day High,48.94
Day Low,46.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.25
Ex-dividend Date,No dividend
Historical Volatility,0.866
Last (size),3.0
Last (time),7:00p ET 11/28/22
Market Cap,8.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,48.56
Short Interest,0.0403
Today's Open,47.42
Volume,3465884.0
Volume 10-day Avg,4351001.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.8124999999999998
Growth 1yr High Est,1.214285714285714
Growth 1yr Consensus Est,1.0133928571428568
Growth 2yr Low Est,0.29418103448275856
Growth 2yr High Est,-1.66705069124424
Growth 2yr Consensus Est,-0.6864348283807407
Growth 5yr Low Est,0.29418103448275856
Growth 5yr High Est,-1.66705069124424
Growth 5yr Consensus Est,-0.6864348283807407
Growth 5yr Actual/Est,-0.5447554347826087
Growth 3yr Historic,-0.4123641304347826
Price/Earnings (TTM),
Price/Sales (TTM),2.45619
Price/Book (MRQ),0.84985
Price/Cash Flow (TTM),
5yr Low,23.25
5yr High,457.3
5yr Avg Return,0.6759166666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.5926449
Dividend Growth 5yr,
Short Int Current Month,6981613.0
Short Int Prev Month,7232824.0
Short Int Pct of Float,0.0402888
Days to Cover,0.63204
Float,173.277
Shares Outstanding,184.3404
Institutions Holding Shares,953.0
FCF Growth 5yr,0.9249308094440837
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4744
Operating Profit Margin (TTM),-0.3486
Net Profit Margin (TTM),-0.3617
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.48340000000000005
EPS Growth (TTM),-0.46549999999999997
Revenue Growth (MRQ),0.0421
Revenue Growth (TTM),0.4308
Return On Equity (TTM),-0.122
Return On Assets (TTM),-0.10300000000000001
Return On Investment (TTM),-0.1094
Revenue Per Employee (TTM),463263.0
Total Debt/Total Capital (MRQ),0.0886
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-21.29
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-30 00:00:00
theStreet since,2021-12-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-05-24 00:00:00
ford since,2020-11-27 00:00:00
marketEdge opinion since,
