,IMGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),11.89,45.03,Valuation,0.26404619142793695
Price/Book (MRQ),6.39,12.61,Valuation,0.5067406819984139
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-2.0488999999999997,-4.7459,Profitability,0.43172001095682583
Net Profit Margin (TTM),-2.1033,-4.5467,Profitability,0.46259924780610107
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.2528,-0.0014000000000000002,Gowth rates,180.57142857142856
EPS Growth (TTM),-1.3951,0.027200000000000002,Gowth rates,-51.29044117647059
Revenue Growth (MRQ),0.0857,1.3963999999999999,Gowth rates,0.06137209968490404
Revenue Growth (TTM),-0.2511,0.9747,Gowth rates,-0.25761772853185594
Return On Equity (TTM),-1.5766,0.1967,Effectiveness,-8.015251652262329
Return On Assets (TTM),-0.6135,0.0016,Effectiveness,-383.4375
Return On Investment (TTM),-0.9137000000000001,0.0219,Effectiveness,-41.721461187214615
Revenue Per Employee (TTM),901953.0,1476201.0,Effectiveness,0.6109960635441921
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
