,HSIC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.73,29.13,Valuation,0.6086508753861998
Price/Sales (TTM),0.88,1.32,Valuation,0.6666666666666666
Price/Book (MRQ),3.05,4.31,Valuation,0.7076566125290024
"PEG Ratio (TTM, GAAP)",2.09,0.26,Valuation,8.038461538461538
Gross Profit Margin (TTM),0.3023,0.1318,Profitability,2.2936267071320184
Operating Profit Margin (TTM),0.0695,0.0458,Profitability,1.517467248908297
Net Profit Margin (TTM),0.0518,0.0242,Profitability,2.1404958677685952
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.050300000000000004,-0.1478,Gowth rates,0.3403247631935048
EPS Growth (TTM),0.0453,-1.101,Gowth rates,-0.041144414168937334
Revenue Growth (MRQ),0.0122,0.0931,Gowth rates,0.1310418904403867
Revenue Growth (TTM),0.030299999999999997,0.1191,Gowth rates,0.2544080604534005
Return On Equity (TTM),0.18059999999999998,7.2022,Effectiveness,0.02507567132265141
Return On Assets (TTM),0.077,0.0403,Effectiveness,1.910669975186104
Return On Investment (TTM),0.12990000000000002,0.016,Effectiveness,8.11875
Revenue Per Employee (TTM),583635.0,1375304.0,Effectiveness,0.42436799427617455
Total Debt/Total Capital (MRQ),0.17850000000000002,0.4855,Financial strength,0.3676622039134913
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004,0.0015,Financial strength,2.2
Quick Ratio (MRQ),1.0,0.31,Financial strength,3.2258064516129035
Interest Coverage (MRQ),31.57,9.55,Financial strength,3.305759162303665
