,ENPH
% Below High,0.0167
% Held by Institutions,0.7863
52-Wk Range,['113.40 - 324.84']
Annual Dividend $,
Annual Dividend %,
Ask,319.38
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,318.95
Bid Size,100.0
Closing Price,319.42
Day Change $,3.64
Day Change %,0.0115
Day High,323.44
Day Low,310.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,43.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",155.8
Prev Close,315.78
Short Interest,0.0356
Today's Open,315.05
Volume,1538815.0
Volume 10-day Avg,4012681.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.18648018648018638
Growth 2yr High Est,0.4623430962343096
Growth 2yr Consensus Est,0.1379314548770616
Growth 5yr Low Est,-0.18648018648018638
Growth 5yr High Est,0.4623430962343096
Growth 5yr Consensus Est,0.1379314548770616
Growth 5yr Actual/Est,0.5598747370368409
Growth 3yr Historic,0.30030733768728396
Price/Earnings (TTM),155.7964
Price/Sales (TTM),21.50492
Price/Book (MRQ),71.13389
Price/Cash Flow (TTM),124.0697
5yr Low,1.83
5yr High,324.84
5yr Avg Return,1.9709666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.3377478
Dividend Growth 5yr,
Short Int Current Month,4741366.0
Short Int Prev Month,4768089.0
Short Int Pct of Float,0.035593
Days to Cover,1.31482
Float,133.1729
Shares Outstanding,135.9236
Institutions Holding Shares,1269.0
FCF Growth 5yr,0.6896961502881948
"Price/Earnings (TTM, GAAP)",155.8
"PEG Ratio (TTM, GAAP)",4.09
Gross Profit Margin (TTM),0.4097
Operating Profit Margin (TTM),0.1728
Net Profit Margin (TTM),0.1467
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4687
EPS Growth (TTM),0.7902
Revenue Growth (MRQ),0.19710000000000003
Revenue Growth (TTM),0.6359
Return On Equity (TTM),0.47100000000000003
Return On Assets (TTM),0.1202
Return On Investment (TTM),0.1487
Revenue Per Employee (TTM),893327.0
Total Debt/Total Capital (MRQ),0.6786
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),3.34
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-02 00:00:00
cfra since,2022-07-28 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-04-08 00:00:00
