,ENPH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",155.8,20.56,Valuation,7.577821011673152
Price/Sales (TTM),21.5,7.41,Valuation,2.901484480431849
Price/Book (MRQ),71.13,13.13,Valuation,5.417364813404417
"PEG Ratio (TTM, GAAP)",4.09,0.9,Valuation,4.544444444444444
Gross Profit Margin (TTM),0.4097,0.5489,Profitability,0.7464018946984878
Operating Profit Margin (TTM),0.1728,0.25739999999999996,Profitability,0.6713286713286715
Net Profit Margin (TTM),0.1467,0.2224,Profitability,0.6596223021582734
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),0.4687,1.5356,Gowth rates,0.3052227142485022
EPS Growth (TTM),0.7902,0.2274,Gowth rates,3.474934036939314
Revenue Growth (MRQ),0.19710000000000003,0.1335,Gowth rates,1.4764044943820225
Revenue Growth (TTM),0.6359,0.24170000000000003,Gowth rates,2.630947455523376
Return On Equity (TTM),0.47100000000000003,0.36920000000000003,Effectiveness,1.2757313109425785
Return On Assets (TTM),0.1202,0.16010000000000002,Effectiveness,0.7507807620237351
Return On Investment (TTM),0.1487,0.1925,Effectiveness,0.7724675324675324
Revenue Per Employee (TTM),893327.0,898550.0,Effectiveness,0.9941873017639531
Total Debt/Total Capital (MRQ),0.6786,0.3576,Financial strength,1.8976510067114094
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0,Financial strength,inf
Quick Ratio (MRQ),3.34,2.24,Financial strength,1.4910714285714284
Interest Coverage (MRQ),,15.8,Financial strength,
