,PFHD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.22,11.43,Valuation,1.6815398075240595
Price/Sales (TTM),4.6,3.3,Valuation,1.3939393939393938
Price/Book (MRQ),1.73,1.46,Valuation,1.1849315068493151
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.305,0.34240000000000004,Profitability,0.8907710280373831
Net Profit Margin (TTM),0.24420000000000003,0.2812,Profitability,0.868421052631579
Annual Dividend Yield,,0.028700000000000003,Dividend,
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),0.1974,-0.0335,Gowth rates,-5.892537313432835
EPS Growth (TTM),-0.0917,-0.09960000000000001,Gowth rates,0.9206827309236948
Revenue Growth (MRQ),0.1477,0.5429,Gowth rates,0.27205746914717255
Revenue Growth (TTM),0.147,0.2466,Gowth rates,0.5961070559610705
Return On Equity (TTM),0.09380000000000001,0.1135,Effectiveness,0.826431718061674
Return On Assets (TTM),0.0085,0.0099,Effectiveness,0.8585858585858586
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0161,0.0009,Financial strength,17.88888888888889
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
