,PFHD
% Below High,0.0467
% Held by Institutions,0.6611
52-Wk Range,['18.36 - 31.25']
Annual Dividend $,
Annual Dividend %,
Ask,29.76
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.3
Bid,29.69
Bid Size,100.0
Day Change $,-0.01
Day Change %,-0.0003
Day High,29.79
Day Low,29.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.55
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),100.0
Last (time),10:35a ET 11/28/22
Market Cap,411.5M
"P/E Ratio (TTM, GAAP)",19.22
Prev Close,29.8
Price,29.79
Short Interest,0.0167
Today's Open,29.78
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.07499999999999996
Growth 1yr High Est,0.15853658536585358
Growth 1yr Consensus Est,0.11676829268292677
Growth 2yr Low Est,0.16249999999999998
Growth 2yr High Est,0.2108472400513478
Growth 2yr Consensus Est,0.1866736200256739
Growth 5yr Low Est,0.16249999999999998
Growth 5yr High Est,0.2108472400513478
Growth 5yr Consensus Est,0.1866736200256739
Growth 5yr Actual/Est,0.6396213837846345
Growth 3yr Historic,0.4946236559139785
Price/Earnings (TTM),19.21936
Price/Sales (TTM),4.6026
Price/Book (MRQ),1.73028
Price/Cash Flow (TTM),18.22758
5yr Low,9.63
5yr High,31.25
5yr Avg Return,0.13796666666666668
Short Int Current Month,214044.0
Short Int Prev Month,223878.0
Short Int Pct of Float,0.0167087
Days to Cover,1.81442
Float,12.81158
Shares Outstanding,13.81443
Institutions Holding Shares,116.0
FCF Growth 5yr,-0.005602240896358561
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",19.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.305
Net Profit Margin (TTM),0.24420000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1974
EPS Growth (TTM),-0.0917
Revenue Growth (MRQ),0.1477
Revenue Growth (TTM),0.147
Return On Equity (TTM),0.09380000000000001
Return On Assets (TTM),0.0085
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0161
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
theStreet since,2021-10-29 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
