,GOOGL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.73,18.12,Valuation,1.088852097130243
Price/Sales (TTM),4.47,4.52,Valuation,0.9889380530973452
Price/Book (MRQ),4.98,5.02,Valuation,0.9920318725099603
"PEG Ratio (TTM, GAAP)",2.2,8.0,Valuation,0.275
Gross Profit Margin (TTM),0.561,0.6097,Profitability,0.9201246514679351
Operating Profit Margin (TTM),0.2785,0.24480000000000002,Profitability,1.1376633986928104
Net Profit Margin (TTM),0.23750000000000002,0.1981,Profitability,1.1988894497728422
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.1213,-0.2712,Gowth rates,0.4472713864306785
EPS Growth (TTM),-0.0353,-0.0227,Gowth rates,1.555066079295154
Revenue Growth (MRQ),-0.0085,0.7634000000000001,Gowth rates,-0.011134398742467907
Revenue Growth (TTM),0.1794,1.7572999999999999,Gowth rates,0.10208843111591648
Return On Equity (TTM),0.26890000000000003,0.2407,Effectiveness,1.1171582883257167
Return On Assets (TTM),0.18989999999999999,0.16899999999999998,Effectiveness,1.1236686390532544
Return On Investment (TTM),0.2318,0.20510000000000003,Effectiveness,1.130180399804973
Revenue Per Employee (TTM),1802639.0,1707732.0,Effectiveness,1.0555748794307303
Total Debt/Total Capital (MRQ),0.056100000000000004,0.0821,Financial strength,0.6833130328867235
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.028999999999999998,Financial strength,0.003448275862068966
Quick Ratio (MRQ),2.47,1.88,Financial strength,1.3138297872340428
Interest Coverage (MRQ),15.59,29.8,Financial strength,0.5231543624161074
