,GOOGL
% Above Low,0.16940000000000002
% Held by Institutions,0.7615000000000001
52-Wk Range,['83.34 - 151.55']
Annual Dividend $,
Annual Dividend %,
Ask,97.37
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,97.33
Bid Size,200.0
Closing Price,97.46
Day Change $,-1.0
Day Change %,-0.0102
Day High,98.64
Day Low,97.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.94
Ex-dividend Date,No dividend
Historical Volatility,0.379
Last (size),500.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.73
Prev Close,98.46
Short Interest,0.009000000000000001
Today's Open,98.24
Volume,9701441.0
Volume 10-day Avg,28516948.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,42.0
Growth 1yr Low Est,-0.9571868385607081
Growth 1yr High Est,-0.957027122226136
Growth 1yr Consensus Est,-0.957106980393422
Growth 2yr Low Est,-0.5505035316399046
Growth 2yr High Est,-0.3637594627524122
Growth 2yr Consensus Est,-0.4571314971961584
Growth 5yr Low Est,-0.5505035316399046
Growth 5yr High Est,-0.3637594627524122
Growth 5yr Consensus Est,-0.4571314971961584
Growth 5yr Actual/Est,0.26484388444701995
Growth 3yr Historic,0.27643316962179865
Price/Earnings (TTM),19.72627
Price/Sales (TTM),4.47437
Price/Book (MRQ),4.98432
Price/Cash Flow (TTM),15.36439
5yr Low,48.88
5yr High,151.55
5yr Avg Return,0.15188333333333331
EPS Growth 5yr,0.3211326
Revenue Growth 5yr,0.2333633
Dividend Growth 5yr,
Short Int Current Month,53117948.0
Short Int Prev Month,51989928.0
Short Int Pct of Float,0.009003
Days to Cover,1.24539
Float,11592.08
Shares Outstanding,12943.0
Institutions Holding Shares,4855.0
FCF Growth 5yr,0.2088753288980952
"Price/Earnings (TTM, GAAP)",19.73
"PEG Ratio (TTM, GAAP)",2.2
Gross Profit Margin (TTM),0.561
Operating Profit Margin (TTM),0.2785
Net Profit Margin (TTM),0.23750000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1213
EPS Growth (TTM),-0.0353
Revenue Growth (MRQ),-0.0085
Revenue Growth (TTM),0.1794
Return On Equity (TTM),0.26890000000000003
Return On Assets (TTM),0.18989999999999999
Return On Investment (TTM),0.2318
Revenue Per Employee (TTM),1802639.0
Total Debt/Total Capital (MRQ),0.056100000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),2.47
Interest Coverage (MRQ),15.59
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2018-04-24 00:00:00
researchTeam since,2022-04-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-27 00:00:00
ford since,2022-04-08 00:00:00
marketEdge opinion since,
