,UNP
% Above Low,0.1351
% Held by Institutions,0.7720999999999999
52-Wk Range,['183.70 - 278.94']
Annual Dividend $,5.2
Annual Dividend %,0.024399999999999998
Ask,221.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,194.0
Bid Size,100.0
Closing Price,208.52
Day Change $,-4.81
Day Change %,-0.0225
Day High,212.43
Day Low,207.68
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",11.21
Ex-dividend,2022-08-30 00:00:00
Ex-dividend Date,08/30/22
Historical Volatility,0.262
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,128.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.02
Prev Close,213.33
Short Interest,0.0097
Today's Open,211.23
Volume,2755386.0
Volume 10-day Avg,3442609.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.16632653061224478
Growth 1yr High Est,0.1696606786427146
Growth 1yr Consensus Est,0.1679936046274797
Growth 2yr Low Est,0.02323325655721603
Growth 2yr High Est,0.12877231884354157
Growth 2yr Consensus Est,0.0760027877003788
Growth 5yr Low Est,0.05855376211584204
Growth 5yr High Est,0.09813701150084367
Growth 5yr Consensus Est,0.07834538680834285
Growth 5yr Actual/Est,0.09604900878482389
Growth 3yr Historic,0.048055795967490406
Price/Earnings (TTM),19.02225
Price/Sales (TTM),5.36906
Price/Book (MRQ),11.18678
Price/Cash Flow (TTM),14.09667
5yr Low,105.08
5yr High,278.94
5yr Avg Return,0.11245
EPS Growth 5yr,0.1445572
Revenue Growth 5yr,0.0180236
Dividend Growth 5yr,0.1372662
Short Int Current Month,5958439.0
Short Int Prev Month,5687477.0
Short Int Pct of Float,0.009722399999999999
Days to Cover,1.37573
Float,612.8949
Shares Outstanding,614.8008
Institutions Holding Shares,2895.0
FCF Growth 5yr,0.26047002063811925
"Price/Earnings (TTM, GAAP)",19.02
"PEG Ratio (TTM, GAAP)",1.74
Gross Profit Margin (TTM),0.7736000000000001
Operating Profit Margin (TTM),0.4071
Net Profit Margin (TTM),0.2895
Annual Dividend Yield,0.0244
Dividend Change %,0.1057
"Dividend Growth Rate, 3 Years",0.1192
EPS Growth (MRQ),0.0415
EPS Growth (TTM),0.1998
Revenue Growth (MRQ),0.047400000000000005
Revenue Growth (TTM),0.1516
Return On Equity (TTM),0.5511
Return On Assets (TTM),0.1107
Return On Investment (TTM),0.121
Revenue Per Employee (TTM),816853.0
Total Debt/Total Capital (MRQ),0.74
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),8.36
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-07-08 00:00:00
theStreet since,2009-05-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-08 00:00:00
ford since,2022-05-13 00:00:00
marketEdge opinion since,
