,UNP
Price/Earnings (TTM),19.02225
Price/Sales (TTM),5.36906
Price/Book (MRQ),11.18678
Price/Cash Flow (TTM),14.09667
5yr Low,105.08
5yr High,278.94
5yr Avg Return,0.11245
EPS Growth 5yr,0.1445572
Revenue Growth 5yr,0.0180236
Dividend Growth 5yr,0.1372662
Short Int Current Month,5958439.0
Short Int Prev Month,5687477.0
Short Int Pct of Float,0.009722399999999999
Days to Cover,1.37573
Float,612.8949
Shares Outstanding,614.8008
Institutions Holding Shares,2895.0
% Held by Institutions,0.7721089999999999
FCF Growth 5yr,0.26047002063811925
