,APO
% Below High,0.1185
% Held by Institutions,0.5455
52-Wk Range,['45.62 - 75.39']
Annual Dividend $,1.6
Annual Dividend %,0.0241
Ask,74.22
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,65.25
Bid Size,100.0
Closing Price,66.46
Day Change $,1.14
Day Change %,0.0175
Day High,66.72
Day Low,65.03
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",-5.54
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.43200000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,38.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,65.32
Short Interest,0.0287
Today's Open,65.29
Volume,1016946.0
Volume 10-day Avg,2434214.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.1674107142857142
Growth 1yr High Est,0.15221987315010566
Growth 1yr Consensus Est,0.15981529371790992
Growth 2yr Low Est,0.17261549098606932
Growth 2yr High Est,0.2871191108869794
Growth 2yr Consensus Est,0.22986730093652435
Growth 5yr Low Est,0.17261549098606932
Growth 5yr High Est,0.2871191108869794
Growth 5yr Consensus Est,0.22986730093652435
Growth 5yr Actual/Est,0.362913998884228
Growth 3yr Historic,0.250703299112199
Price/Earnings (TTM),
Price/Sales (TTM),5.19499
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,19.46
5yr High,81.07
5yr Avg Return,0.20450000000000002
EPS Growth 5yr,0.2831744
Revenue Growth 5yr,0.2347622
Dividend Growth 5yr,0.1093328
Short Int Current Month,9408909.0
Short Int Prev Month,10757554.0
Short Int Pct of Float,0.028671600000000002
Days to Cover,2.64175
Float,328.4687
Shares Outstanding,572.2836
Institutions Holding Shares,803.0
FCF Growth 5yr,0.0
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.1122
Net Profit Margin (TTM),-0.6957
Annual Dividend Yield,0.024100000000000003
Dividend Change %,-0.0909
"Dividend Growth Rate, 3 Years",0.0285
EPS Growth (MRQ),0.5725
EPS Growth (TTM),-1.6419
Revenue Growth (MRQ),0.31120000000000003
Revenue Growth (TTM),0.2096
Total Debt/Total Capital (MRQ),0.7309
Change in Debt/Total Capital Quarter over Quarter,-0.0094
Quick Ratio (MRQ),
Interest Coverage (MRQ),-26.2
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-21 00:00:00
cfra since,2019-08-02 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-03 00:00:00
