,APO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,152.92,Valuation,
Price/Sales (TTM),5.19,2.55,Valuation,2.035294117647059
Price/Book (MRQ),,1.54,Valuation,
"PEG Ratio (TTM, GAAP)",,1.6,Valuation,
Gross Profit Margin (TTM),,0.20140000000000002,Profitability,
Operating Profit Margin (TTM),-1.1122,0.0601,Profitability,-18.505823627287853
Net Profit Margin (TTM),-0.6957,-0.0332,Profitability,20.954819277108435
Annual Dividend Yield,0.024100000000000003,0.0028000000000000004,Dividend,8.607142857142858
Dividend Change %,-0.0909,0.010700000000000001,Dividend,-8.495327102803737
"Dividend Growth Rate, 3 Years",0.0285,0.0294,Dividend,0.9693877551020409
EPS Growth (MRQ),0.5725,-1.2324,Gowth rates,-0.46454073352807534
EPS Growth (TTM),-1.6419,-0.9573999999999999,Gowth rates,1.7149571756841446
Revenue Growth (MRQ),0.31120000000000003,0.1734,Gowth rates,1.7946943483275666
Revenue Growth (TTM),0.2096,0.1101,Gowth rates,1.9037238873751134
EPS Growth (MRQ),0.5725,-1.2324,Effectiveness,-0.46454073352807534
EPS Growth (TTM),-1.6419,-0.9573999999999999,Effectiveness,1.7149571756841446
Revenue Growth (MRQ),0.31120000000000003,0.1734,Effectiveness,1.7946943483275666
Revenue Growth (TTM),0.2096,0.1101,Effectiveness,1.9037238873751134
Total Debt/Total Capital (MRQ),0.7309,0.2434,Financial strength,3.0028759244042726
Change in Debt/Total Capital Quarter over Quarter,-0.0094,-0.0001,Financial strength,94.0
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),-26.2,-0.26,Financial strength,100.76923076923076
