,XPEL
% Below High,0.23199999999999998
% Held by Institutions,0.6033
52-Wk Range,['39.80 - 87.01']
Annual Dividend $,
Annual Dividend %,
Ask,71.13
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,1.5
Bid,66.0
Bid Size,1200.0
Closing Price,66.82
Day Change $,-1.76
Day Change %,-0.025699999999999997
Day High,68.65
Day Low,66.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.42
Ex-dividend Date,No dividend
Historical Volatility,0.552
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",48.28
Prev Close,68.58
Short Interest,0.079
Today's Open,68.22
Volume,90100.0
Volume 10-day Avg,122542.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.6229508196721314
Growth 1yr High Est,1.5454545454545454
Growth 1yr Consensus Est,1.5842026825633384
Growth 2yr Low Est,0.9521004098360656
Growth 2yr High Est,0.9661796536796537
Growth 2yr Consensus Est,0.9591400317578597
Growth 5yr Low Est,0.6347336065573771
Growth 5yr High Est,0.6441197691197692
Growth 5yr Consensus Est,0.6394266878385731
Growth 5yr Actual/Est,0.4516397674903567
Growth 3yr Historic,0.26292335115864524
Price/Earnings (TTM),48.27878
Price/Sales (TTM),6.00014
Price/Book (MRQ),16.47551
Price/Cash Flow (TTM),40.58321
5yr Low,1.32
5yr High,103.84
5yr Avg Return,1.2371333333333332
EPS Growth 5yr,0.6780527
Revenue Growth 5yr,0.380227
Dividend Growth 5yr,
Short Int Current Month,1182907.0
Short Int Prev Month,1297942.0
Short Int Pct of Float,0.07900070000000001
Days to Cover,8.28761
Float,19.42917
Shares Outstanding,27.61606
Institutions Holding Shares,227.0
FCF Growth 5yr,-1.0042298561598955
"Price/Earnings (TTM, GAAP)",48.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.38380000000000003
Operating Profit Margin (TTM),0.1635
Net Profit Margin (TTM),0.1243
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1187
EPS Growth (TTM),0.24710000000000001
Revenue Growth (MRQ),0.0699
Revenue Growth (TTM),0.32770000000000005
Return On Equity (TTM),0.4057
Return On Assets (TTM),0.2509
Return On Investment (TTM),0.3191
Revenue Per Employee (TTM),445196.0
Total Debt/Total Capital (MRQ),0.18530000000000002
Change in Debt/Total Capital Quarter over Quarter,0.28809999999999997
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),22.68
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-30 00:00:00
theStreet since,2022-08-18 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
