,XPEL
Price/Earnings (TTM),48.27878
Price/Sales (TTM),6.00014
Price/Book (MRQ),16.47551
Price/Cash Flow (TTM),40.58321
5yr Low,1.32
5yr High,103.84
5yr Avg Return,1.2371333333333332
EPS Growth 5yr,0.6780527
Revenue Growth 5yr,0.380227
Dividend Growth 5yr,
Short Int Current Month,1182907.0
Short Int Prev Month,1297942.0
Short Int Pct of Float,0.07900070000000001
Days to Cover,8.28761
Float,19.42917
Shares Outstanding,27.61606
Institutions Holding Shares,227.0
% Held by Institutions,0.603348
FCF Growth 5yr,-1.0042298561598955
