,GPS
Price/Earnings (TTM),137.4201
Price/Sales (TTM),0.34075
Price/Book (MRQ),2.10681
Price/Cash Flow (TTM),9.48743
5yr Low,5.26
5yr High,37.63
5yr Avg Return,-0.09923333333333333
EPS Growth 5yr,-0.18134989999999998
Revenue Growth 5yr,0.014451199999999999
Dividend Growth 5yr,-0.17109850000000001
Short Int Current Month,35396967.0
Short Int Prev Month,31408103.0
Short Int Pct of Float,0.19729220000000003
Days to Cover,3.59493
Float,179.4847
Shares Outstanding,365.0485
Institutions Holding Shares,467.0
% Held by Institutions,0.572606
FCF Growth 5yr,-1.9891571025392272
