,GPS
% Below High,0.2214
% Held by Institutions,0.5726
52-Wk Range,['7.79 - 19.06']
Annual Dividend $,0.6
Annual Dividend %,0.0404
Ask,14.88
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.8
Bid,14.85
Bid Size,400.0
Closing Price,14.84
Day Change $,0.1
Day Change %,0.0068000000000000005
Day High,15.04
Day Low,14.73
Dividend Pay Date,2023-01-25 00:00:00
"EPS (TTM, GAAP)",0.11
Ex-dividend,2023-01-03 00:00:00
Ex-dividend Date,01/03/23
Historical Volatility,0.596
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",137.42
Prev Close,14.74
Short Interest,0.1973
Today's Open,14.77
Volume,4451706.0
Volume 10-day Avg,13230086.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.7434782608695651
Growth 1yr High Est,-1.0940594059405941
Growth 1yr Consensus Est,-0.9187688334050796
Growth 2yr Low Est,-1.1937730287398673
Growth 2yr High Est,1.979286086503387
Growth 2yr Consensus Est,0.3927565288817598
Growth 5yr Low Est,-0.7958486858265782
Growth 5yr High Est,1.3195240576689247
Growth 5yr Consensus Est,0.26183768592117324
Growth 5yr Actual/Est,-3.0633826112060047
Growth 3yr Historic,-0.9383826112060047
Price/Earnings (TTM),137.4201
Price/Sales (TTM),0.34075
Price/Book (MRQ),2.10681
Price/Cash Flow (TTM),9.48743
5yr Low,5.26
5yr High,37.63
5yr Avg Return,-0.09923333333333333
EPS Growth 5yr,-0.18134989999999998
Revenue Growth 5yr,0.014451199999999999
Dividend Growth 5yr,-0.17109850000000001
Short Int Current Month,35396967.0
Short Int Prev Month,31408103.0
Short Int Pct of Float,0.19729220000000003
Days to Cover,3.59493
Float,179.4847
Shares Outstanding,365.0485
Institutions Holding Shares,467.0
FCF Growth 5yr,-1.9891571025392272
"Price/Earnings (TTM, GAAP)",137.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3433
Operating Profit Margin (TTM),-0.0019
Net Profit Margin (TTM),0.0023
Annual Dividend Yield,0.0404
Dividend Change %,0.48450000000000004
"Dividend Growth Rate, 3 Years",-0.28140000000000004
EPS Growth (MRQ),6.771000000000001
EPS Growth (TTM),-0.8912000000000001
Revenue Growth (MRQ),0.0472
Revenue Growth (TTM),-0.0405
Return On Equity (TTM),0.0138
Return On Assets (TTM),0.003
Return On Investment (TTM),0.0042
Revenue Per Employee (TTM),163897.0
Total Debt/Total Capital (MRQ),0.41659999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),13.28
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-27 00:00:00
researchTeam since,2021-06-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
