,GPS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",137.42,19.03,Valuation,7.221229637414607
Price/Sales (TTM),0.34,1.93,Valuation,0.1761658031088083
Price/Book (MRQ),2.11,92.12,Valuation,0.022904906643508464
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.3433,0.34390000000000004,Profitability,0.9982553067752252
Operating Profit Margin (TTM),-0.0019,0.11789999999999999,Profitability,-0.01611535199321459
Net Profit Margin (TTM),0.0023,0.0818,Profitability,0.028117359413202935
Annual Dividend Yield,0.0404,0.016200000000000003,Dividend,2.4938271604938267
Dividend Change %,0.48450000000000004,0.2582,Dividend,1.8764523625096827
"Dividend Growth Rate, 3 Years",-0.28140000000000004,0.09390000000000001,Dividend,-2.9968051118210863
EPS Growth (MRQ),6.771000000000001,-0.10800000000000001,Gowth rates,-62.69444444444444
EPS Growth (TTM),-0.8912000000000001,0.0262,Gowth rates,-34.015267175572525
Revenue Growth (MRQ),0.0472,0.0478,Gowth rates,0.9874476987447698
Revenue Growth (TTM),-0.0405,0.0874,Gowth rates,-0.4633867276887872
Return On Equity (TTM),0.0138,5.2054,Effectiveness,0.0026510930956314595
Return On Assets (TTM),0.003,0.1562,Effectiveness,0.019206145966709345
Return On Investment (TTM),0.0042,0.26,Effectiveness,0.01615384615384615
Revenue Per Employee (TTM),163897.0,410011.0,Effectiveness,0.39973805580825883
Total Debt/Total Capital (MRQ),0.41659999999999997,0.8926999999999999,Financial strength,0.46667413464769797
Change in Debt/Total Capital Quarter over Quarter,0.0032,0.0016,Financial strength,2.0
Quick Ratio (MRQ),0.59,0.39,Financial strength,1.5128205128205128
Interest Coverage (MRQ),13.28,13.36,Financial strength,0.9940119760479041
