,TDCX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.53,53.12,Valuation,0.36765813253012053
Price/Sales (TTM),3.31,19.35,Valuation,0.1710594315245478
Price/Book (MRQ),3.89,19.03,Valuation,0.20441408302679978
"PEG Ratio (TTM, GAAP)",1.48,3.41,Valuation,0.4340175953079179
Gross Profit Margin (TTM),,0.44520000000000004,Profitability,
Operating Profit Margin (TTM),0.228,0.3027,Profitability,0.753221010901883
Net Profit Margin (TTM),0.16940000000000002,0.23600000000000002,Profitability,0.7177966101694916
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.1591,-3.5570999999999997,Gowth rates,-0.044727446515419864
EPS Growth (TTM),0.0009,0.15560000000000002,Gowth rates,0.005784061696658097
Revenue Growth (MRQ),0.06480000000000001,0.16460000000000002,Gowth rates,0.393681652490887
Revenue Growth (TTM),0.2336,0.2273,Gowth rates,1.0277166739991201
Return On Equity (TTM),0.4581,0.5459,Effectiveness,0.8391646821762226
Return On Assets (TTM),0.22160000000000002,0.1131,Effectiveness,1.9593280282935457
Return On Investment (TTM),0.2738,0.189,Effectiveness,1.4486772486772486
Revenue Per Employee (TTM),31767.0,686063.0,Effectiveness,0.04630332782849388
Total Debt/Total Capital (MRQ),0.0605,0.5613,Financial strength,0.10778549795118474
Change in Debt/Total Capital Quarter over Quarter,-0.0094,0.0048,Financial strength,-1.9583333333333335
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
