,BSX
% Below High,0.0704
% Held by Institutions,0.9243000000000001
52-Wk Range,['34.98 - 47.50']
Annual Dividend $,
Annual Dividend %,
Ask,44.33
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.9
Bid,40.8
Bid Size,500.0
Closing Price,44.15
Day Change $,0.26
Day Change %,0.0059
Day High,44.29
Day Low,44.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.42
Ex-dividend Date,No dividend
Historical Volatility,0.28500000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,63.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",106.37
Prev Close,43.89
Short Interest,0.0092
Today's Open,44.08
Volume,1313151.0
Volume 10-day Avg,5308652.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.06874999999999987
Growth 1yr High Est,0.06707317073170738
Growth 1yr Consensus Est,0.06791158536585362
Growth 2yr Low Est,0.08408260233918119
Growth 2yr High Est,0.12210801393728232
Growth 2yr Consensus Est,0.10309530813823176
Growth 5yr Low Est,0.050105817298622846
Growth 5yr High Est,0.0705476778547171
Growth 5yr Consensus Est,0.060326747576669976
Growth 5yr Actual/Est,0.12206214496601381
Growth 3yr Historic,0.0763779008438818
Price/Earnings (TTM),106.3702
Price/Sales (TTM),5.03195
Price/Book (MRQ),3.58433
Price/Cash Flow (TTM),36.57406
5yr Low,24.1
5yr High,47.5
5yr Avg Return,0.09974999999999999
EPS Growth 5yr,0.2221479
Revenue Growth 5yr,0.0722864
Dividend Growth 5yr,
Short Int Current Month,13165568.0
Short Int Prev Month,13905372.0
Short Int Pct of Float,0.0092149
Days to Cover,1.8186
Float,1429.194
Shares Outstanding,1432.311
Institutions Holding Shares,1281.0
FCF Growth 5yr,3.8683710599774783
"Price/Earnings (TTM, GAAP)",106.37
"PEG Ratio (TTM, GAAP)",9.85
Gross Profit Margin (TTM),0.6889000000000001
Operating Profit Margin (TTM),0.0981
Net Profit Margin (TTM),0.0519
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2938
EPS Growth (TTM),-0.4596
Revenue Growth (MRQ),-0.022799999999999997
Revenue Growth (TTM),0.0956
Return On Equity (TTM),0.035
Return On Assets (TTM),0.0204
Return On Investment (TTM),0.0232
Revenue Per Employee (TTM),306512.0
Total Debt/Total Capital (MRQ),0.3273
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),5.82
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2020-07-31 00:00:00
ford since,2021-04-30 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-25 00:00:00
