,BSX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",106.37,61.36,Valuation,1.7335397653194264
Price/Sales (TTM),5.03,9.8,Valuation,0.5132653061224489
Price/Book (MRQ),3.58,10.31,Valuation,0.3472356935014549
"PEG Ratio (TTM, GAAP)",9.85,3.02,Valuation,3.2615894039735096
Gross Profit Margin (TTM),0.6889000000000001,0.6196,Profitability,1.1118463524854745
Operating Profit Margin (TTM),0.0981,0.047,Profitability,2.0872340425531917
Net Profit Margin (TTM),0.0519,0.009300000000000001,Profitability,5.580645161290322
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.2938,-0.4858,Gowth rates,0.6047756278303829
EPS Growth (TTM),-0.4596,-0.2029,Gowth rates,2.2651552488910793
Revenue Growth (MRQ),-0.022799999999999997,0.1161,Gowth rates,-0.19638242894056845
Revenue Growth (TTM),0.0956,0.18300000000000002,Gowth rates,0.5224043715846994
Return On Equity (TTM),0.035,0.1068,Effectiveness,0.32771535580524347
Return On Assets (TTM),0.0204,0.0622,Effectiveness,0.32797427652733124
Return On Investment (TTM),0.0232,0.0732,Effectiveness,0.3169398907103825
Revenue Per Employee (TTM),306512.0,403586.0,Effectiveness,0.7594713394419034
Total Debt/Total Capital (MRQ),0.3273,0.3161,Financial strength,1.0354318253717179
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0125,Financial strength,-0.047999999999999994
Quick Ratio (MRQ),0.95,2.25,Financial strength,0.4222222222222222
Interest Coverage (MRQ),5.82,14.99,Financial strength,0.3882588392261508
