,PACK
% Above Low,0.8931
% Held by Institutions,0.9732
52-Wk Range,['2.90 - 40.97']
Annual Dividend $,
Annual Dividend %,
Ask,5.49
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.6
Bid,5.44
Bid Size,400.0
Day Change $,-0.15
Day Change %,-0.026600000000000002
Day High,5.53
Day Low,5.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.45
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),5.0
Last (time),9:56a ET 11/28/22
Market Cap,450.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.64
Price,5.49
Short Interest,0.0441
Today's Open,5.5
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3090909090909092
Growth 2yr High Est,-0.5294117647058824
Growth 2yr Consensus Est,-0.4192513368983958
Growth 5yr Low Est,-0.3090909090909092
Growth 5yr High Est,-0.5294117647058824
Growth 5yr Consensus Est,-0.4192513368983958
Growth 5yr Actual/Est,3.573717948717949
Growth 3yr Historic,-0.2916666666666667
Price/Earnings (TTM),
Price/Sales (TTM),1.29848
Price/Book (MRQ),0.75604
Price/Cash Flow (TTM),13.06553
5yr Low,2.9
5yr High,42.97
5yr Avg Return,0.27930000000000005
Short Int Current Month,3245773.0
Short Int Prev Month,3013400.0
Short Int Pct of Float,0.044093299999999995
Days to Cover,3.34919
Float,73.74351
Shares Outstanding,82.00707
Institutions Holding Shares,176.0
FCF Growth 5yr,4.820631139516761
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3262
Operating Profit Margin (TTM),-0.1005
Net Profit Margin (TTM),-0.1028
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2305
EPS Growth (TTM),-5.3755
Revenue Growth (MRQ),-0.1037
Revenue Growth (TTM),-0.0286
Return On Equity (TTM),-0.0589
Return On Assets (TTM),-0.031000000000000003
Return On Investment (TTM),-0.0326
Revenue Per Employee (TTM),407086.0
Total Debt/Total Capital (MRQ),0.3835
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),2.85
Interest Coverage (MRQ),-2.83
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-02-28 00:00:00
theStreet since,2022-02-28 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
