,PACK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,14.62,Valuation,
Price/Sales (TTM),1.3,1.05,Valuation,1.2380952380952381
Price/Book (MRQ),0.76,5.55,Valuation,0.13693693693693695
"PEG Ratio (TTM, GAAP)",,0.41,Valuation,
Gross Profit Margin (TTM),0.3262,0.2208,Profitability,1.477355072463768
Operating Profit Margin (TTM),-0.1005,0.09230000000000001,Profitability,-1.0888407367280606
Net Profit Margin (TTM),-0.1028,0.0636,Profitability,-1.6163522012578615
Annual Dividend Yield,,0.0259,Dividend,
Dividend Change %,,0.0837,Dividend,
"Dividend Growth Rate, 3 Years",,0.037700000000000004,Dividend,
EPS Growth (MRQ),0.2305,0.5963,Gowth rates,0.38655039409693104
EPS Growth (TTM),-5.3755,0.35340000000000005,Gowth rates,-15.210809281267682
Revenue Growth (MRQ),-0.1037,0.1054,Gowth rates,-0.9838709677419355
Revenue Growth (TTM),-0.0286,0.1638,Gowth rates,-0.1746031746031746
Return On Equity (TTM),-0.0589,0.3788,Effectiveness,-0.1554910242872228
Return On Assets (TTM),-0.031000000000000003,0.0592,Effectiveness,-0.5236486486486487
Return On Investment (TTM),-0.0326,0.0793,Effectiveness,-0.4110970996216898
Revenue Per Employee (TTM),407086.0,433957.0,Effectiveness,0.938079118438002
Total Debt/Total Capital (MRQ),0.3835,0.6087,Financial strength,0.6300312140627566
Change in Debt/Total Capital Quarter over Quarter,0.0001,-0.0001,Financial strength,-1.0
Quick Ratio (MRQ),2.85,0.9,Financial strength,3.1666666666666665
Interest Coverage (MRQ),-2.83,9.25,Financial strength,-0.30594594594594593
