,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.1,10.35,13.57,42.97,39.91,,,,,
low,9.49,4.32,5.7,13.08,2.9,,,,,
change,0.0394,-0.18739999999999998,0.6491,1.7531,-0.8577,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,104.0,81.0,59.0,61.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,45.0,49.0,44.0,37.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,44.0,48.0,43.0,36.0,Balance Sheet
Other Receivables,,,,,,3.0,6.0,6.0,9.0,Balance Sheet
"Total Receivables, Net",,,,,,46.0,54.0,49.0,45.0,Balance Sheet
Invent. - Finished Goods,,,,,,13.0,12.0,15.0,9.0,Balance Sheet
Invent. - Work In Progress,,,,,,1.0,11.0,11.0,8.0,Balance Sheet
Invent. - Raw Materials,,,,,,20.0,18.0,18.0,16.0,Balance Sheet
Inventories - Other,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Inventory,,,,,,33.0,41.0,43.0,32.0,Balance Sheet
Prepaid Expenses,,,,,,8.0,12.0,20.0,26.0,Balance Sheet
Total Current Assets,,,,,,192.0,187.0,171.0,164.0,Balance Sheet
Buildings,,,,,,9.0,9.0,9.0,9.0,Balance Sheet
Land/Improvements,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Machinery/Equipment,,,,,,199.0,207.0,212.0,216.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,7.0,6.0,5.0,6.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,219.0,226.0,230.0,234.0,Balance Sheet
Accumulated Depreciation,,,,,,-86.0,-97.0,-105.0,-110.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,133.0,129.0,126.0,125.0,Balance Sheet
"Goodwill, Net",,,,,,453.0,451.0,444.0,438.0,Balance Sheet
Intangibles - Gross,,,,,,481.0,480.0,472.0,465.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-74.0,-81.0,-87.0,-93.0,Balance Sheet
Intangibles - Net,,,,,,407.0,399.0,385.0,372.0,Balance Sheet
Other Long Term Assets,,,,,,29.0,34.0,38.0,42.0,Balance Sheet
Total Assets,,,,,,1213.0,1200.0,1164.0,1141.0,Balance Sheet
Accounts Payable,,,,,,34.0,39.0,31.0,24.0,Balance Sheet
Accrued Expenses,,,,,,27.0,14.0,8.0,10.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Customer Advances,,,,,,3.0,2.0,1.0,2.0,Balance Sheet
Income Taxes Payable,,,,,,7.0,11.0,12.0,10.0,Balance Sheet
Other Current Liabilities,,,,,,,0.0,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,10.0,13.0,13.0,11.0,Balance Sheet
Total Current Liabilities,,,,,,72.0,68.0,54.0,46.0,Balance Sheet
Long Term Debt,,,,,,400.0,397.0,387.0,379.0,Balance Sheet
Capital Lease Obligations,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Long Term Debt,,,,,,400.0,398.0,388.0,380.0,Balance Sheet
Total Debt,,,,,,401.0,399.0,389.0,381.0,Balance Sheet
Deferred Income Tax,,,,,,98.0,98.0,95.0,92.0,Balance Sheet
"Other Liabilities, Total",,,,,,8.0,5.0,8.0,11.0,Balance Sheet
Total Liabilities,,,,,,577.0,569.0,545.0,529.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,689.0,695.0,700.0,707.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-55.0,-69.0,-81.0,-89.0,Balance Sheet
Unrealized Gain (Loss),,,,,,-2.0,4.0,6.0,9.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,3.0,0.0,-12.0,-22.0,Balance Sheet
Other Equity,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,,2.0,2.0,5.0,7.0,Balance Sheet
"Other Equity, Total",,,,,,5.0,2.0,-7.0,-14.0,Balance Sheet
Total Equity,,,,,,636.0,631.0,619.0,612.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1213.0,1200.0,1164.0,1141.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,78.0,79.0,79.0,79.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 4,,,,,,,,,3.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,78.0,79.0,79.0,82.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 4,,,,,,,,,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,109100.0,82500.0,86800.0,77800.0,Income Statement
"Cost of Revenue, Total",,,,,,70200.0,57900.0,58500.0,53400.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,27500.0,29700.0,30300.0,26800.0,Income Statement
Depreciation/Amortization,,,,,,8900.0,8200.0,8000.0,7800.0,Income Statement
Other Operating Expense,,,,,,0.0,,,,Income Statement
"Other, Net",,,,,,,,,4000.0,Income Statement
"Other Operat Expse, Total",,,,,,1400.0,500.0,1400.0,1500.0,Income Statement
Total Operating Expense,,,,,,108000.0,96300.0,98200.0,89500.0,Income Statement
Total Operating Income,,,,,,1100.0,-13800.0,-11400.0,-11700.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-5300.0,-5000.0,-4900.0,-5300.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,1400.0,600.0,2300.0,1200.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,,,4000.0,Income Statement
Income Before Tax,,,,,,-2800.0,-18200.0,-14000.0,-11800.0,Income Statement
Income Tax - Total,,,,,,-300.0,-4100.0,-2700.0,-3100.0,Income Statement
Income After Tax,,,,,,-2500.0,-14100.0,-11300.0,-8700.0,Income Statement
Net Inc Before Extra Items,,,,,,-2500.0,-14100.0,-11300.0,-8700.0,Income Statement
Total Net Income,,,,,,-2500.0,-14100.0,-11300.0,-8700.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-2500.0,-14100.0,-11300.0,-8700.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-2500.0,-14100.0,-11300.0,-8700.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,78522.0,81573.0,81943.0,81980.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.03,-0.17,-0.14,-0.11,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.03,-0.17,-0.14,-0.11,Income Statement
Diluted Weighted Average Shares,,,,,,78522.0,81573.0,81943.0,81980.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.03,-0.17,-0.14,-0.11,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.03,-0.17,-0.14,-0.11,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,5300.0,5000.0,4900.0,5300.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,11700.0,11500.0,10600.0,9100.0,Income Statement
Total Special Items,,,,,,,500.0,1100.0,100.0,Income Statement
Normalzd Income Before Tax,,,,,,-2800.0,-17700.0,-12900.0,-11700.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,175.0,385.0,35.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-300.0,-3925.0,-2315.0,-3065.0,Income Statement
Normalized Income After Tax,,,,,,-2500.0,-13775.0,-10585.0,-8635.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-2500.0,-13775.0,-10585.0,-8635.0,Income Statement
Basic Normalized EPS,,,,,,-0.03,-0.17,-0.13,-0.11,Income Statement
Diluted Normalized EPS,,,,,,-0.03,-0.17,-0.13,-0.11,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-2800.0,-14100.0,-25400.0,-34100.0,Cash Flow
