,PRU
% Below High,0.1421
% Held by Institutions,0.5733
52-Wk Range,['85.46 - 124.22']
Annual Dividend $,4.8
Annual Dividend %,0.044500000000000005
Ask,106.58
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,106.55
Bid Size,100.0
Day Change $,-1.2
Day Change %,-0.0111
Day High,107.54
Day Low,106.36
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.72
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.30100000000000005
Last (size),100.0
Last (time),11:39a ET 11/28/22
Market Cap,39.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",149.18
Prev Close,107.77
Price,106.57
Short Interest,0.0215
Today's Open,106.53
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.41781317885590163
Growth 1yr High Est,-0.33873144399460187
Growth 1yr Consensus Est,-0.37827231142525175
Growth 2yr Low Est,-0.1355235048508363
Growth 2yr High Est,-0.016304497507505067
Growth 2yr Consensus Est,-0.07591400117917069
Growth 5yr Low Est,0.0016516190508621131
Growth 5yr High Est,0.07179602537661678
Growth 5yr Consensus Est,0.036723822213739446
Growth 5yr Actual/Est,0.044941663333014276
Growth 3yr Historic,0.07535195454899635
Price/Earnings (TTM),149.1771
Price/Sales (TTM),0.62812
Price/Book (MRQ),2.41054
Price/Cash Flow (TTM),73.44326
5yr Low,38.62
5yr High,127.14
5yr Avg Return,0.013300000000000001
EPS Growth 5yr,0.149731
Revenue Growth 5yr,0.0375261
Dividend Growth 5yr,0.10438359999999999
Short Int Current Month,7888372.0
Short Int Prev Month,7039157.0
Short Int Pct of Float,0.021463100000000002
Days to Cover,3.25015
Float,367.6113
Shares Outstanding,368.0
Institutions Holding Shares,1458.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",149.18
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0051
Net Profit Margin (TTM),0.005699999999999999
Annual Dividend Yield,0.044500000000000005
Dividend Change %,0.0455
"Dividend Growth Rate, 3 Years",0.0851
EPS Growth (MRQ),0.4875
EPS Growth (TTM),-0.9606
Revenue Growth (MRQ),0.5728
Revenue Growth (TTM),-0.10490000000000001
Return On Equity (TTM),0.0075
Return On Assets (TTM),0.0004
Return On Investment (TTM),
Revenue Per Employee (TTM),1543162.0
Total Debt/Total Capital (MRQ),0.5486
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-08-04 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
