,PRU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",149.18,19.61,Valuation,7.6073431922488535
Price/Sales (TTM),0.63,2.33,Valuation,0.27038626609442057
Price/Book (MRQ),2.41,3.82,Valuation,0.630890052356021
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.0051,0.1298,Profitability,0.039291217257318954
Net Profit Margin (TTM),0.005699999999999999,0.10460000000000001,Profitability,0.05449330783938813
Annual Dividend Yield,0.044500000000000005,0.0168,Dividend,2.648809523809524
Dividend Change %,0.0455,-0.0075,Dividend,-6.066666666666666
"Dividend Growth Rate, 3 Years",0.0851,0.0225,Dividend,3.782222222222222
EPS Growth (MRQ),0.4875,-0.0779,Gowth rates,-6.2580231065468555
EPS Growth (TTM),-0.9606,-0.005200000000000001,Gowth rates,184.7307692307692
Revenue Growth (MRQ),0.5728,0.0897,Gowth rates,6.385730211817168
Revenue Growth (TTM),-0.10490000000000001,0.042800000000000005,Gowth rates,-2.4509345794392523
Return On Equity (TTM),0.0075,0.3775,Effectiveness,0.019867549668874173
Return On Assets (TTM),0.0004,0.031200000000000002,Effectiveness,0.01282051282051282
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1543162.0,1261907.0,Effectiveness,1.2228809254564719
Total Debt/Total Capital (MRQ),0.5486,0.4026,Financial strength,1.362642821659215
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005,0.002,Financial strength,2.25
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,10.79,Financial strength,
