,MYGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),2.41,45.03,Valuation,0.05351987563846325
Price/Book (MRQ),1.73,12.61,Valuation,0.1371927042030135
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7068000000000001,0.5874,Profitability,1.2032686414708889
Operating Profit Margin (TTM),-0.1988,-4.7459,Profitability,0.041888788217198006
Net Profit Margin (TTM),-0.1128,-4.5467,Profitability,0.02480920227857567
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-1.4801,-0.0014000000000000002,Gowth rates,1057.2142857142856
EPS Growth (TTM),-0.1716,0.027200000000000002,Gowth rates,-6.3088235294117645
Revenue Growth (MRQ),-0.1277,1.3963999999999999,Gowth rates,-0.09144944142079635
Revenue Growth (TTM),-0.0336,0.9747,Gowth rates,-0.03447214527546937
Return On Equity (TTM),-0.0791,0.1967,Effectiveness,-0.40213523131672596
Return On Assets (TTM),-0.058600000000000006,0.0016,Effectiveness,-36.625
Return On Investment (TTM),-0.06730000000000001,0.0219,Effectiveness,-3.0730593607305945
Revenue Per Employee (TTM),275583.0,1476201.0,Effectiveness,0.18668392718877713
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),2.58,2.06,Financial strength,1.2524271844660195
Interest Coverage (MRQ),,2.69,Financial strength,
