,MYGN
% Above Low,0.277
% Held by Institutions,0.9995
52-Wk Range,['15.38 - 28.45']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,18.4
Bid Size,100.0
Closing Price,19.64
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.93
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.64
Short Interest,0.051100000000000007
Today's Open,
Volume,258290.0
Volume 10-day Avg,527762.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.6666666666666665
Growth 1yr High Est,-4.199999999999999
Growth 1yr Consensus Est,-1.7666666666666664
Growth 2yr Low Est,0.40476190476190477
Growth 2yr High Est,-2.8656249999999996
Growth 2yr Consensus Est,-1.2304315476190475
Growth 5yr Low Est,-0.07779146141215104
Growth 5yr High Est,-1.669371639784946
Growth 5yr Consensus Est,-0.8735815505985486
Growth 5yr Actual/Est,-5.108566956995101
Growth 3yr Historic,-0.5744760479041916
Price/Earnings (TTM),
Price/Sales (TTM),2.40627
Price/Book (MRQ),1.73345
Price/Cash Flow (TTM),
5yr Low,9.24
5yr High,50.44
5yr Avg Return,-0.05678333333333334
Short Int Current Month,4056304.0
Short Int Prev Month,3849355.0
Short Int Pct of Float,0.051105
Days to Cover,4.56758
Float,79.43235
Shares Outstanding,81.03382
Institutions Holding Shares,272.0
FCF Growth 5yr,-87.91428630567975
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7068000000000001
Operating Profit Margin (TTM),-0.1988
Net Profit Margin (TTM),-0.1128
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.4801
EPS Growth (TTM),-0.1716
Revenue Growth (MRQ),-0.1277
Revenue Growth (TTM),-0.0336
Return On Equity (TTM),-0.0791
Return On Assets (TTM),-0.058600000000000006
Return On Investment (TTM),-0.06730000000000001
Revenue Per Employee (TTM),275583.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.58
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-05-20 00:00:00
theStreet since,2022-06-06 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
