,MP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.49,8.1,Valuation,2.9
Price/Sales (TTM),11.07,26.88,Valuation,0.41183035714285715
Price/Book (MRQ),4.75,2.96,Valuation,1.6047297297297298
"PEG Ratio (TTM, GAAP)",0.7,0.16,Valuation,4.375
Gross Profit Margin (TTM),0.8384999999999999,0.37450000000000006,Profitability,2.238985313751668
Operating Profit Margin (TTM),0.6506000000000001,0.1534,Profitability,4.241199478487614
Net Profit Margin (TTM),0.5081,-0.0742,Profitability,-6.847708894878706
Annual Dividend Yield,,0.0221,Dividend,
Dividend Change %,,1.2752,Dividend,
"Dividend Growth Rate, 3 Years",,0.166,Dividend,
EPS Growth (MRQ),-0.136,2.9881,Gowth rates,-0.04551387169104113
EPS Growth (TTM),2.9947000000000004,0.4999,Gowth rates,5.990598119623925
Revenue Growth (MRQ),-0.1332,-0.0394,Gowth rates,3.3807106598984777
Revenue Growth (TTM),0.45270000000000005,0.1966,Gowth rates,2.3026449643947102
Return On Equity (TTM),0.24670000000000003,0.284,Effectiveness,0.8686619718309861
Return On Assets (TTM),0.1342,0.0867,Effectiveness,1.5478662053056518
Return On Investment (TTM),0.1392,0.171,Effectiveness,0.8140350877192981
Revenue Per Employee (TTM),1461299.0,1551415.0,Effectiveness,0.9419136723571707
Total Debt/Total Capital (MRQ),0.3529,0.30510000000000004,Financial strength,1.1566699442805637
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0381,Financial strength,-0.049868766404199474
Quick Ratio (MRQ),17.33,2.21,Financial strength,7.841628959276018
Interest Coverage (MRQ),66.2,28.93,Financial strength,2.2882820601451783
