,MP
% Above Low,0.27030000000000004
% Held by Institutions,0.6311
52-Wk Range,['26.19 - 60.19']
Annual Dividend $,
Annual Dividend %,
Ask,34.3
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,31.1
Bid Size,300.0
Change Since Close,-0.79| |(-2.37%)
Closing Price,33.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.42
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),50.0
Last (time),5:00p ET 11/25/22
Last Trade,32.48
Market Cap,5.9B
"P/E Ratio (TTM, GAAP)",23.49
Prev Close,33.27
Short Interest,0.0848
Today's Open,
Volume,212.0
Volume 10-day Avg,1605484.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3481481481481482
Growth 2yr High Est,0.16666666666666674
Growth 2yr Consensus Est,-0.09074074074074073
Growth 5yr Low Est,-0.3481481481481482
Growth 5yr High Est,0.16666666666666674
Growth 5yr Consensus Est,-0.09074074074074073
Growth 5yr Actual/Est,0.25253777605579236
Growth 3yr Historic,0.0
Price/Earnings (TTM),23.49294
Price/Sales (TTM),11.07451
Price/Book (MRQ),4.75453
Price/Cash Flow (TTM),20.48403
5yr Low,9.78
5yr High,60.19
5yr Avg Return,0.7990666666666665
Short Int Current Month,12303285.0
Short Int Prev Month,12043126.0
Short Int Pct of Float,0.08480399999999999
Days to Cover,5.65873
Float,145.0843
Shares Outstanding,177.543
Institutions Holding Shares,496.0
FCF Growth 5yr,-1.1664583984171613
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",23.49
"PEG Ratio (TTM, GAAP)",0.7
Gross Profit Margin (TTM),0.8384999999999999
Operating Profit Margin (TTM),0.6506000000000001
Net Profit Margin (TTM),0.5081
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.136
EPS Growth (TTM),2.9947000000000004
Revenue Growth (MRQ),-0.1332
Revenue Growth (TTM),0.45270000000000005
Return On Equity (TTM),0.24670000000000003
Return On Assets (TTM),0.1342
Return On Investment (TTM),0.1392
Revenue Per Employee (TTM),1461299.0
Total Debt/Total Capital (MRQ),0.3529
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),17.33
Interest Coverage (MRQ),66.2
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-25 00:00:00
theStreet since,2022-03-29 00:00:00
cfra since,2021-12-10 00:00:00
ford since,2022-05-20 00:00:00
marketEdge opinion since,
