,DAN
% Above Low,0.5927
% Held by Institutions,0.9399
52-Wk Range,['11.17 - 25.51']
Annual Dividend $,0.4
Annual Dividend %,0.0225
Ask,20.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,2.4
Bid,17.55
Bid Size,400.0
Closing Price,17.79
Day Change $,-0.01
Day Change %,-0.0006
Day High,17.87
Day Low,17.64
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",-0.27
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.5710000000000001
Last (size),61.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,17.8
Short Interest,0.021099999999999997
Today's Open,17.8
Volume,255407.0
Volume 10-day Avg,1280071.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.7619047619047619
Growth 1yr High Est,-0.721311475409836
Growth 1yr Consensus Est,-0.7416081186572989
Growth 2yr Low Est,0.21190476190476204
Growth 2yr High Est,0.2275795564127292
Growth 2yr Consensus Est,0.21974215915874562
Growth 5yr Low Est,0.10595238095238102
Growth 5yr High Est,0.1137897782063646
Growth 5yr Consensus Est,0.10987107957937281
Growth 5yr Actual/Est,0.7986273085493496
Growth 3yr Historic,0.5959653092006033
Price/Earnings (TTM),
Price/Sales (TTM),0.25828
Price/Book (MRQ),1.57229
Price/Cash Flow (TTM),8.97978
5yr Low,4.22
5yr High,35.27
5yr Avg Return,-0.03921666666666667
EPS Growth 5yr,-0.2092975
Revenue Growth 5yr,0.08953699999999999
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,3010947.0
Short Int Prev Month,3398720.0
Short Int Pct of Float,0.021120800000000002
Days to Cover,2.18846
Float,142.573
Shares Outstanding,143.3535
Institutions Holding Shares,352.0
FCF Growth 5yr,-0.5604728671319349
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.07200000000000001
Operating Profit Margin (TTM),0.01
Net Profit Margin (TTM),-0.0103
Annual Dividend Yield,0.0225
Dividend Change %,3.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-12.023399999999999
EPS Growth (TTM),-1.1855
Revenue Growth (MRQ),-0.0197
Revenue Growth (TTM),0.12460000000000002
Return On Equity (TTM),-0.0219
Return On Assets (TTM),-0.0134
Return On Investment (TTM),-0.0206
Revenue Per Employee (TTM),245622.0
Total Debt/Total Capital (MRQ),0.5774
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.88
Interest Coverage (MRQ),3.0
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-17 00:00:00
cfra since,2022-04-27 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-17 00:00:00
