,EWBC
Price/Earnings (TTM),9.85975
Price/Sales (TTM),4.5685
Price/Book (MRQ),1.73587
Price/Cash Flow (TTM),8.68587
5yr Low,22.55
5yr High,93.51
5yr Avg Return,0.057866666666666663
EPS Growth 5yr,0.15449859999999999
Revenue Growth 5yr,0.073115
Dividend Growth 5yr,0.10534230000000001
Short Int Current Month,2202969.0
Short Int Prev Month,2793863.0
Short Int Pct of Float,0.0157593
Days to Cover,2.15477
Float,139.7879
Shares Outstanding,140.9466
Institutions Holding Shares,560.0
% Held by Institutions,0.8911169999999999
FCF Growth 5yr,0.17934145161827222
