,EWBC
% Above Low,0.1311
% Held by Institutions,0.8911
52-Wk Range,['61.65 - 93.51']
Annual Dividend $,1.6
Annual Dividend %,0.0229
Ask,70.08
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,67.67
Bid Size,100.0
Closing Price,69.73
Day Change $,0.57
Day Change %,0.008199999999999999
Day High,70.0
Day Low,69.2
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",7.07
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.408
Last (size),56.0
Last (time),12:59p ET 11/25/22
Market Cap,9.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",9.86
Prev Close,69.16
Short Interest,0.0158
Today's Open,69.74
Volume,204662.0
Volume 10-day Avg,908998.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.26480263157894735
Growth 1yr High Est,0.27053140096618344
Growth 1yr Consensus Est,0.2676670162725654
Growth 2yr Low Est,0.13305151084799116
Growth 2yr High Est,0.24363071949449855
Growth 2yr Consensus Est,0.18834111517124486
Growth 5yr Low Est,0.18305522727402257
Growth 5yr High Est,0.23381120582768938
Growth 5yr Consensus Est,0.20843321655085598
Growth 5yr Actual/Est,0.20115300770232805
Growth 3yr Historic,0.09989185193297559
Price/Earnings (TTM),9.85975
Price/Sales (TTM),4.5685
Price/Book (MRQ),1.73587
Price/Cash Flow (TTM),8.68587
5yr Low,22.55
5yr High,93.51
5yr Avg Return,0.057866666666666663
EPS Growth 5yr,0.15449859999999999
Revenue Growth 5yr,0.073115
Dividend Growth 5yr,0.10534230000000001
Short Int Current Month,2202969.0
Short Int Prev Month,2793863.0
Short Int Pct of Float,0.0157593
Days to Cover,2.15477
Float,139.7879
Shares Outstanding,140.9466
Institutions Holding Shares,560.0
FCF Growth 5yr,0.17934145161827222
"Price/Earnings (TTM, GAAP)",9.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.6045
Net Profit Margin (TTM),0.46909999999999996
Annual Dividend Yield,0.0229
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.1535
EPS Growth (MRQ),0.1462
EPS Growth (TTM),0.23399999999999999
Revenue Growth (MRQ),0.2571
Revenue Growth (TTM),0.257
Return On Equity (TTM),0.1778
Return On Assets (TTM),0.0163
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0108
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2020-11-25 00:00:00
researchTeam since,2022-10-28 00:00:00
cfra since,2022-04-21 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
