,ALL
% Below High,0.0626
% Held by Institutions,0.7856000000000001
52-Wk Range,['106.11 - 144.46']
Annual Dividend $,3.4
Annual Dividend %,0.025099999999999997
Ask,137.55
Ask Size,6500.0
B/A Ratio,0.015384615384615385
B/A Size,100x6500
Beta,0.6
Bid,119.0
Bid Size,100.0
Closing Price,135.42
Day Change $,1.07
Day Change %,0.008
Day High,135.54
Day Low,134.12
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",-0.41
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.308
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,35.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,134.35
Short Interest,0.013500000000000002
Today's Open,134.96
Volume,513838.0
Volume 10-day Avg,1334406.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.9221789883268483
Growth 1yr High Est,-0.8152173913043479
Growth 1yr Consensus Est,-0.8686981898155981
Growth 2yr Low Est,1.4139105058365757
Growth 2yr High Est,1.1119991474850814
Growth 2yr Consensus Est,1.2629548266608286
Growth 5yr Low Est,0.7804698551337965
Growth 5yr High Est,0.621356063687696
Growth 5yr Consensus Est,0.7009129594107463
Growth 5yr Actual/Est,0.7336572819347789
Growth 3yr Historic,0.08185286580630968
Price/Earnings (TTM),
Price/Sales (TTM),0.70732
Price/Book (MRQ),2.29394
Price/Cash Flow (TTM),41.80987
5yr Low,64.13
5yr High,144.46
5yr Avg Return,0.07033333333333332
EPS Growth 5yr,0.2946752
Revenue Growth 5yr,0.0654402
Dividend Growth 5yr,0.181499
Short Int Current Month,3563029.0
Short Int Prev Month,4415647.0
Short Int Pct of Float,0.013525
Days to Cover,2.0437
Float,263.5032
Shares Outstanding,265.2096
Institutions Holding Shares,1543.0
FCF Growth 5yr,1.7675017713594945
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.0009
Net Profit Margin (TTM),0.001
Annual Dividend Yield,0.025099999999999997
Dividend Change %,0.40090000000000003
"Dividend Growth Rate, 3 Years",0.19280000000000003
EPS Growth (MRQ),0.32130000000000003
EPS Growth (TTM),-1.0203
Revenue Growth (MRQ),0.0809
Revenue Growth (TTM),0.0461
Return On Equity (TTM),0.0002
Return On Assets (TTM),0.0004
Return On Investment (TTM),
Revenue Per Employee (TTM),935101.0
Total Debt/Total Capital (MRQ),0.3121
Change in Debt/Total Capital Quarter over Quarter,0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),10.13
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-10-22 00:00:00
ford since,2022-06-10 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-19 00:00:00
