,DG
% Below High,0.019
% Held by Institutions,0.9055
52-Wk Range,['183.25 - 262.21']
Annual Dividend $,2.2
Annual Dividend %,0.0086
Ask,257.23
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.4
Bid,256.51
Bid Size,400.0
Closing Price,257.23
Day Change $,0.9
Day Change %,0.0034999999999999996
Day High,258.01
Day Low,254.57
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",10.04
Ex-dividend,2022-10-03 00:00:00
Ex-dividend Date,10/03/22
Historical Volatility,0.32
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,58.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.62
Prev Close,256.33
Short Interest,0.0166
Today's Open,256.46
Volume,889040.0
Volume 10-day Avg,1481141.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.1535353535353534
Growth 1yr High Est,0.13746369796708624
Growth 1yr Consensus Est,0.14549952575121983
Growth 2yr Low Est,0.08027030373790434
Growth 2yr High Est,0.12617865749418145
Growth 2yr Consensus Est,0.10322448061604289
Growth 5yr Low Est,0.17559126831287314
Growth 5yr High Est,0.20720145339375676
Growth 5yr Consensus Est,0.19139636085331493
Growth 5yr Actual/Est,0.19274054904785293
Growth 3yr Historic,0.13390900848716847
Price/Earnings (TTM),25.62455
Price/Sales (TTM),1.64158
Price/Book (MRQ),9.37589
Price/Cash Flow (TTM),19.38322
5yr Low,85.54
5yr High,262.21
5yr Avg Return,0.20895000000000002
EPS Growth 5yr,0.1807847
Revenue Growth 5yr,0.0925103
Dividend Growth 5yr,0.1093328
Short Int Current Month,3719150.0
Short Int Prev Month,3972309.0
Short Int Pct of Float,0.0165631
Days to Cover,2.18244
Float,224.6006
Shares Outstanding,225.5717
Institutions Holding Shares,1656.0
FCF Growth 5yr,0.018036929874469476
"Price/Earnings (TTM, GAAP)",25.62
"PEG Ratio (TTM, GAAP)",2.24
Gross Profit Margin (TTM),0.31420000000000003
Operating Profit Margin (TTM),0.0883
Net Profit Margin (TTM),0.0655
Annual Dividend Yield,0.0086
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.13140000000000002
EPS Growth (MRQ),0.23850000000000002
EPS Growth (TTM),-0.0384
Revenue Growth (MRQ),0.0771
Revenue Growth (TTM),0.0499
Return On Equity (TTM),0.37570000000000003
Return On Assets (TTM),0.0862
Return On Investment (TTM),0.11380000000000001
Revenue Per Employee (TTM),216849.0
Total Debt/Total Capital (MRQ),0.4562
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),0.1
Interest Coverage (MRQ),21.19
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-30 00:00:00
cfra since,2022-08-25 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2011-11-15 00:00:00
