,DG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.62,18.18,Valuation,1.4092409240924093
Price/Sales (TTM),1.64,1.07,Valuation,1.5327102803738315
Price/Book (MRQ),9.38,6.63,Valuation,1.4147812971342384
"PEG Ratio (TTM, GAAP)",2.24,0.29,Valuation,7.724137931034484
Gross Profit Margin (TTM),0.31420000000000003,0.30210000000000004,Profitability,1.040052962595167
Operating Profit Margin (TTM),0.0883,0.0694,Profitability,1.2723342939481268
Net Profit Margin (TTM),0.0655,0.0507,Profitability,1.291913214990138
Annual Dividend Yield,0.0086,0.016399999999999998,Dividend,0.524390243902439
Dividend Change %,0.16670000000000001,0.1234,Dividend,1.3508914100486225
"Dividend Growth Rate, 3 Years",0.13140000000000002,0.0604,Dividend,2.175496688741722
EPS Growth (MRQ),0.23850000000000002,-0.21030000000000001,Gowth rates,-1.1340941512125535
EPS Growth (TTM),-0.0384,0.6343,Gowth rates,-0.06053917704556203
Revenue Growth (MRQ),0.0771,0.0556,Gowth rates,1.3866906474820144
Revenue Growth (TTM),0.0499,0.058600000000000006,Gowth rates,0.8515358361774743
Return On Equity (TTM),0.37570000000000003,0.3091,Effectiveness,1.2154642510514397
Return On Assets (TTM),0.0862,0.0764,Effectiveness,1.1282722513089005
Return On Investment (TTM),0.11380000000000001,0.11320000000000001,Effectiveness,1.0053003533568905
Revenue Per Employee (TTM),216849.0,285695.0,Effectiveness,0.7590227340345473
Total Debt/Total Capital (MRQ),0.4562,0.4823,Financial strength,0.9458843043748704
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0017000000000000001,Financial strength,0.7647058823529412
Quick Ratio (MRQ),0.1,0.17,Financial strength,0.5882352941176471
Interest Coverage (MRQ),21.19,12.95,Financial strength,1.6362934362934365
