,OSUR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),1.1,9.8,Valuation,0.11224489795918367
Price/Book (MRQ),1.06,10.31,Valuation,0.10281280310378274
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.38170000000000004,0.6196,Profitability,0.6160426081342802
Operating Profit Margin (TTM),-0.13949999999999999,0.047,Profitability,-2.9680851063829783
Net Profit Margin (TTM),-0.1338,0.009300000000000001,Profitability,-14.387096774193546
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),1.2794,-0.4858,Gowth rates,-2.6335940716344175
EPS Growth (TTM),-3.0611,-0.2029,Gowth rates,15.086742237555447
Revenue Growth (MRQ),0.4516,0.1161,Gowth rates,3.889750215331611
Revenue Growth (TTM),0.4078,0.18300000000000002,Gowth rates,2.2284153005464478
Return On Equity (TTM),-0.12029999999999999,0.1068,Effectiveness,-1.1264044943820224
Return On Assets (TTM),-0.0989,0.0622,Effectiveness,-1.590032154340836
Return On Investment (TTM),-0.1152,0.0732,Effectiveness,-1.5737704918032787
Revenue Per Employee (TTM),417795.0,403586.0,Effectiveness,1.035206870406803
Total Debt/Total Capital (MRQ),0.0063,0.3161,Financial strength,0.01993040177159127
Change in Debt/Total Capital Quarter over Quarter,-0.005200000000000001,0.0125,Financial strength,-0.41600000000000004
Quick Ratio (MRQ),2.8,2.25,Financial strength,1.2444444444444445
Interest Coverage (MRQ),,14.99,Financial strength,
