,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,19.03,22.22,13.25,19.75,15.94,9.42,,,,,
low,16.19,10.27,6.35,5.23,8.25,2.62,,,,,
change,0.1341,-0.38200000000000006,-0.3042,0.3068,-0.19010000000000002,-0.4303,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,116762.0,70721.0,66159.0,75205.0,Balance Sheet
Short Term Investments,,,,,,,36279.0,41503.0,29625.0,26432.0,Balance Sheet
Cash and Short Term Invs,,,,,,,153041.0,112224.0,95784.0,101637.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,48741.0,63460.0,66108.0,65482.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3418.0,-3789.0,-3222.0,-4176.0,Balance Sheet
"Total Receivables, Net",,,,,,,45323.0,59671.0,62886.0,61306.0,Balance Sheet
Invent. - Finished Goods,,,,,,,17718.0,18818.0,31664.0,39169.0,Balance Sheet
Invent. - Work In Progress,,,,,,,2252.0,2507.0,2348.0,2499.0,Balance Sheet
Invent. - Raw Materials,,,,,,,33168.0,40211.0,37292.0,37137.0,Balance Sheet
Total Inventory,,,,,,,53138.0,61536.0,71304.0,78805.0,Balance Sheet
Prepaid Expenses,,,,,,,7939.0,8906.0,5477.0,5844.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,28990.0,26027.0,31855.0,32140.0,Balance Sheet
Total Current Assets,,,,,,,288431.0,268364.0,267306.0,279732.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,149321.0,161556.0,160165.0,153810.0,Balance Sheet
Accumulated Depreciation,,,,,,,-61157.0,-63984.0,-66468.0,-68626.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,99713.0,111981.0,112035.0,102543.0,Balance Sheet
"Goodwill, Net",,,,,,,40279.0,40389.0,36038.0,34476.0,Balance Sheet
Intangibles - Gross,,,,,,,44755.0,44834.0,43839.0,41862.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-30412.0,-31142.0,-30988.0,-29943.0,Balance Sheet
Intangibles - Net,,,,,,,14343.0,13692.0,12851.0,11919.0,Balance Sheet
Long Term Investments,,,,,,,17009.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,,,,1215.0,1106.0,1024.0,3538.0,Balance Sheet
Total Assets,,,,,,,460990.0,435532.0,429254.0,432208.0,Balance Sheet
Accounts Payable,,,,,,,28024.0,27057.0,36226.0,40370.0,Balance Sheet
Accrued Expenses,,,,,,,35959.0,22938.0,24599.0,27350.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,939.0,1699.0,1182.0,1242.0,Balance Sheet
Customer Advances,,,,,,,2936.0,3694.0,3280.0,2536.0,Balance Sheet
Other Current Liabilities,,,,,,,206.0,199.0,199.0,199.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,3142.0,3893.0,3479.0,2735.0,Balance Sheet
Total Current Liabilities,,,,,,,68064.0,55587.0,65486.0,71697.0,Balance Sheet
Total Long Term Debt,,,,,,,1952.0,1207.0,1445.0,935.0,Balance Sheet
Total Debt,,,,,,,2891.0,2906.0,2627.0,2177.0,Balance Sheet
Deferred Income Tax,,,,,,,2234.0,2456.0,2547.0,2551.0,Balance Sheet
"Other Liabilities, Total",,,,,,,8207.0,11396.0,15584.0,15135.0,Balance Sheet
Total Liabilities,,,,,,,80457.0,70646.0,85062.0,90318.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,511063.0,513553.0,515928.0,518170.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-120453.0,-140420.0,-159222.0,-153949.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-434.0,-359.0,-278.0,-267.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-9643.0,-7888.0,-12236.0,-22064.0,Balance Sheet
Other Equity,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Equity, Total",,,,,,,-9643.0,-7888.0,-12236.0,-22064.0,Balance Sheet
Total Equity,,,,,,,380533.0,364886.0,344192.0,341890.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,460990.0,435532.0,429254.0,432208.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,72069.0,72307.0,72572.0,72619.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,63568.0,67707.0,80231.0,116463.0,Income Statement
"Cost of Revenue, Total",,,,,,,36435.0,43435.0,52647.0,70271.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,27563.0,31873.0,29263.0,29001.0,Income Statement
Research & Development,,,,,,,8900.0,8413.0,9068.0,9757.0,Income Statement
Impair-Assets Held for Use,,,,,,,,,10542.0,6559.0,Income Statement
Other Unusual Expnse (In),,,,,,,41.0,-36.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,,,41.0,-36.0,10542.0,6559.0,Income Statement
Total Operating Expense,,,,,,,72939.0,83685.0,101520.0,115588.0,Income Statement
Total Operating Income,,,,,,,-9371.0,-15978.0,-21289.0,875.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,-296.0,-729.0,783.0,2342.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,739.0,676.0,535.0,913.0,Income Statement
"Other, Net",,,,,,,739.0,676.0,535.0,913.0,Income Statement
